patong,promthep,wat
"[[('ดี', 'ADV'), ('<s/>', 'PUNCT')], [('แต่', 'CCONJ'), ('ค่อนข้าง', 'ADV'), ('แออัด', 'VERB'), ('<s/>', 'PUNCT')], [('หาด', 'NOUN'), ('อื่นๆ', 'PROPN'), ('<s/>', 'PUNCT')], [('ใน', 'ADP'), ('บริเวณ', 'NOUN'), ('ใกล้เคียง', 'ADJ'), ('นั้น', 'DET'), ('ดี', 'VERB'), ('กว่า', 'ADV'), ('<s/>', 'PUNCT')]]","[[('จุด', 'NOUN'), ('ชม', 'VERB'), ('วิ', 'NOUN'), ('วดี', 'NOUN'), ('<s/>', 'PUNCT')], [('แต่', 'CCONJ'), ('ควร', 'AUX'), ('เดิน', 'VERB'), ('ลง', 'VERB'), ('ไป', 'VERB'), ('ที่', 'SCONJ'), ('ชายฝั่ง', 'NOUN'), ('ใกล้', 'VERB'), ('ๆ', 'PUNCT'), ('<s/>', 'PUNCT')], [('ใช้', 'VERB'), ('เวลา', 'NOUN'), ('ประมาณ', 'ADV'), ('สี่', 'NUM'), ('สิบ', 'NUM'), ('ห้า', 'NUM'), ('หก', 'NUM'), ('สิบ', 'NUM'), ('นาที', 'NOUN'), ('เพื่อ', 'SCONJ'), ('ให้', 'SCONJ'), ('เส้นทาง', 'NOUN'), ('เล็ก', 'ADJ'), ('ๆ', 'PUNCT'), ('<s/>', 'PUNCT')], [('คุ้มค่า', 'NOUN'), ('<s/>', 'PUNCT')]]","[[('เป็น', 'VERB'), ('สถานที่', 'NOUN'), ('ที่', 'SCONJ'), ('ดี', 'VERB'), ('และ', 'CCONJ'), ('เป็น', 'VERB'), ('ที่', 'SCONJ'), ('นิยม', 'VERB'), ('มาก', 'ADV'), ('ๆ', 'PUNCT'), ('<s/>', 'PUNCT')], [('ถ้า', 'SCONJ'), ('คุณ', 'NOUN'), ('มอง', 'VERB'), ('ด้วย', 'ADP'), ('ตัว', 'NOUN'), ('คุณ', 'NOUN'), ('เอง', 'DET'), ('คุณ', 'NOUN'), ('สามารถ', 'AUX'), ('หา', 'VERB'), ('สถานที่', 'NOUN'), ('ที่', 'SCONJ'), ('ดี', 'VERB'), ('กว่า', 'ADV'), ('โดย', 'SCONJ'), ('ไม่', 'PART'), ('ต้อง', 'AUX'), ('นักท่องเที่ยว', 'VERB'), ('<s/>', 'PUNCT')]]"
"[[('ทราย', 'NOUN'), ('ที่', 'SCONJ'), ('ดี', 'VERB'), ('แออัด', 'VERB'), ('มาก', 'ADV'), ('<s/>', 'PUNCT')], [('น้ำ', 'NOUN'), ('ไม่', 'PART'), ('ชัดเจน', 'VERB'), ('จริงๆ', 'NOUN'), ('<s/>', 'PUNCT')], [('ฉัน', 'PRON'), ('เคย', 'AUX'), ('มี', 'VERB'), ('คลื่น', 'NOUN'), ('<s/>', 'PUNCT')], [('แต่', 'CCONJ'), ('โดย', 'ADP'), ('รวม', 'VERB'), ('แล้ว', 'ADV'), ('เป็น', 'VERB'), ('ชายหาด', 'NOUN'), ('ที่', 'SCONJ'), ('สนุก', 'VERB'), ('<s/>', 'PUNCT')]]","[[('จุด', 'NOUN'), ('ชม', 'VERB'), ('วิว', 'NOUN'), ('ที่', 'SCONJ'), ('น่าตื่นตาตื่นใจ', 'VERB'), ('<s/>', 'PUNCT')]]","[[('การ', 'NOUN'), ('ค้นพบ', 'VERB'), ('ที่', 'SCONJ'), ('ยอดเยี่ยม', 'VERB'), ('ใน', 'ADP'), ('ส่วน', 'NOUN'), ('ของ', 'ADP'), ('เรา', 'PRON'), ('โดย', 'PART'), ('ไม่', 'PART'), ('เสียค่าใช้จ่าย', 'VERB'), ('เรา', 'PRON'), ('สามารถ', 'AUX'), ('สำรวจ', 'VERB'), ('พื้นที่', 'NOUN'), ('ต่างๆ', 'DET'), ('<s/>', 'PUNCT')], [('มากมาย', 'ADJ'), ('และ', 'CCONJ'), ('เรียนรู้', 'VERB'), ('เพิ่มเติม', 'ADV'), ('เกี่ยวกับ', 'ADP'), ('ศาสนา', 'NOUN'), ('<s/>', 'PUNCT')]]"
"[[('แออัด', 'NOUN'), ('<s/>', 'PUNCT')], [('แต่', 'CCONJ'), ('ดี', 'VERB'), ('<s/>', 'PUNCT')]]","[[('คน', 'NOUN'), ('เยอะ', 'ADJ'), ('มาก', 'ADV'), ('มัน', 'PRON'), ('แออัด', 'VERB'), ('มาก', 'ADV'), ('มัน', 'PRON'), ('ไร้สาระ', 'ADV'), ('<s/>', 'PUNCT')], [('เป็นบ้า', 'NOUN'), ('ที่', 'SCONJ'), ('พยายาม', 'VERB'), ('ดึง', 'VERB'), ('คน', 'NOUN'), ('ที่ผ่านมา', 'ADJ'), ('และ', 'CCONJ'), ('พระอาทิตย์', 'NOUN'), ('ตก', 'VERB'), ('ไม่', 'PART'), ('แตกต่าง', 'VERB'), ('จาก', 'ADP'), ('ที่อื่น', 'NOUN'), ('<s/>', 'PUNCT')], [('ไม่', 'PART'), ('คุ้ม', 'VERB'), ('ที่', 'SCONJ'), ('จะ', 'AUX'), ('ไป', 'VERB'), ('เมื่อ', 'SCONJ'), ('แออัด', 'VERB'), ('<s/>', 'PUNCT')]]","[[('จะ', 'AUX'), ('ต้อง', 'AUX'), ('หยุด', 'VERB'), ('ใน', 'ADP'), ('ระหว่าง', 'ADP'), ('การ', 'NOUN'), ('เดินทาง', 'VERB'), ('วัน', 'NOUN'), ('เดียว', 'ADJ'), ('กับ', 'ADP'), ('ภูเก็ต', 'PROPN'), ('ด้วย', 'ADP'), ('คนขับ', 'NOUN'), ('ส่วนตัว', 'ADJ'), ('ที่', 'SCONJ'), ('คุณ', 'NOUN'), ('ต้องหา', 'VERB'), ('ข้อเสนอ', 'NOUN'), ('ราคา', 'NOUN'), ('ถูก', 'AUX'), ('<s/>', 'PUNCT')], [('ผลงาน', 'NOUN'), ('ชิ้นเอก', 'NOUN'), ('ของ', 'ADP'), ('ศิลปะ', 'NOUN'), ('ไทย', 'PROPN'), ('ที่', 'SCONJ'), ('ยอดเยี่ยม', 'VERB'), ('ที่', 'SCONJ'), ('สร้าง', 'VERB'), ('ขึ้น', 'ADV'), ('เมื่อ', 'ADP'), ('หลาย', 'ADV'), ('สิบ', 'NUM'), ('ปี', 'NOUN'), ('ที่ผ่านมา', 'DET'), ('ทิวทัศน์', 'NOUN'), ('อัน', 'SCONJ'), ('งดงาม', 'VERB'), ('จาก', 'ADP'), ('จุดสูงสุด', 'PROPN'), ('<s/>', 'PUNCT')]]"
"[[('หาด', 'NOUN'), ('สวย', 'ADJ'), ('<s/>', 'PUNCT')], [('แออัด', 'NOUN'), ('น้อย', 'ADV'), ('ถ้า', 'SCONJ'), ('คุณ', 'NOUN'), ('เดิน', 'VERB'), ('ไป', 'VERB'), ('อีกหน่อย', 'ADV'), ('<s/>', 'PUNCT')]]","[[('จุด', 'NOUN'), ('ชม', 'VERB'), ('พระอาทิตย์', 'NOUN'), ('ตก', 'VERB'), ('ที่', 'SCONJ'), ('สวยงาม', 'ADJ'), ('ของ', 'ADP'), ('ภูเก็ต', 'PROPN'), ('ประเทศ', 'NOUN'), ('ไทย', 'PROPN'), ('<s/>', 'PUNCT')], [('ขับรถ', 'VERB'), ('จาก', 'ADP'), ('ตัวเมือง', 'NOUN'), ('ภูเก็ต', 'PROPN'), ('ประมาณ', 'ADV'), ('สาม', 'NUM'), ('สิบ', 'NUM'), ('นาที', 'NOUN'), ('<s/>', 'PUNCT')], [('มัน', 'PRON'), ('สมบูรณ์แบบ', 'VERB'), ('<s/>', 'PUNCT')]]","[[('วัด', 'NOUN'), ('ที่', 'SCONJ'), ('สะอาด', 'VERB'), ('และ', 'CCONJ'), ('สวยงาม', 'VERB'), ('มาก', 'ADV'), ('<s/>', 'PUNCT')],[('ได้รับ', 'VERB'), ('การ', 'NOUN'), ('ดูแล', 'VERB'), ('อย่าง', 'PART'), ('ดี', 'ADV'), ('<s/>', 'PUNCT')], [('ผู้คน', 'NOUN'), ('ติดตาม', 'VERB'), ('วินัย', 'NOUN'), ('ที่นี่', 'DET'), ('<s/>', 'PUNCT')], [('คุณ', 'NOUN'), ('สามารถ', 'AUX'), ('มองเห็น', 'VERB'), ('พระพุทธรูป', 'NOUN'), ('องค์', 'NOUN'), ('ใหญ่', 'ADJ'), ('ได้', 'ADV'), ('จาก', 'ADP'), ('ที่นี่', 'NOUN'), ('บน', 'ADP'), ('ภูเขา', 'NOUN'), ('<s/>', 'PUNCT')]]"
"[[('ชายหาด', 'NOUN'), ('สวย', 'ADJ'), ('ดี', 'ADV'), ('<s/>', 'PUNCT')], [('ไม่', 'PART'), ('เห็น', 'VERB'), ('ขยะ', 'NOUN'), ('ใดๆ', 'ADV'), ('<s/>', 'PUNCT')], [('กิจกรรม', 'NOUN'), ('ทาง', 'ADP'), ('น้ำ', 'NOUN'), ('มากมาย', 'ADV'), ('<s/>', 'PUNCT')], [('เก้าอี้', 'NOUN'), ('อาบแดด', 'NOUN'), ('<s/>', 'PUNCT')]]","[[('สถานที่', 'NOUN'), ('ที่', 'SCONJ'), ('ดี', 'VERB'), ('ที่สุด', 'ADV'), ('ใน', 'ADP'), ('การ', 'NOUN'), ('ชม', 'VERB'), ('พระอาทิตย์', 'NOUN'), ('ตก', 'VERB'), ('ใน', 'ADP'), ('จังหวัด', 'NOUN'), ('ภูเก็ต', 'PROPN'), ('เป็น', 'VERB'), ('จุด', 'NOUN'), ('ชม', 'VERB'), ('วิว', 'NOUN'), ('ที่', 'SCONJ'), ('สวยงาม', 'VERB'), ('<s/>', 'PUNCT')], [('คุณ', 'NOUN'), ('ควร', 'AUX'), ('ไป', 'VERB'), ('ถึง', 'ADP'), ('ครึ่งชั่วโมง', 'NOUN'), ('ก่อน', 'ADV'), ('ถึง', 'ADP'), ('พระอาทิตย์', 'NOUN'), ('ตก', 'VERB'), ('เพื่อ', 'SCONJ'), ('ดู', 'VERB'), ('ความ', 'NOUN'), ('งาม', 'ADJ'), ('ที่', 'SCONJ'), ('แท้จริง', 'VERB'), ('<s/>', 'PUNCT')], [('มี', 'VERB'), ('ฝูงชน', 'NOUN'), ('มากมาย', 'ADJ'), ('ดังนั้น', 'CCONJ'), ('หา', 'VERB'), ('สถานที่', 'NOUN'), ('ที่', 'SCONJ'), ('ดี', 'VERB'), ('ที่สุด', 'ADV'), ('ของ', 'ADP'), ('คุณ', 'NOUN'), ('เพื่อ', 'SCONJ'), ('ชม', 'VERB'), ('พระอาทิตย์', 'NOUN'), ('ตก', 'VERB'), ('<s/>', 'PUNCT')], [('คุณ', 'NOUN'), ('ได้', 'ADV'), ('ทุก', 'ADV'), ('อย่าง', 'NOUN'), ('เพื่อ', 'SCONJ'), ('กิน', 'VERB'), ('ใกล้', 'VERB'), ('จุด', 'NOUN'), ('นี้', 'DET'), ('<s/>', 'PUNCT')], [('อย่า', 'AUX'), ('พลาด', 'VERB'), ('น้ำมะพร้าว', 'NOUN'), ('<s/>', 'PUNCT')]]","[[('ราคา', 'NOUN'), ('โปรด', 'ADJ'), ('ของ', 'ADP'), ('ฉัน', 'PRON'), ('ฟรี', 'NOUN'), ('เหมาะ', 'VERB'), ('สำหรับ', 'ADP'), ('การ', 'NOUN'), ('ออก', 'VERB'), ('ไป', 'VERB'), ('เที่ยวเล่น', 'VERB'), ('นอกสถานที่', 'ADP'), ('สถาปนิก', 'NOUN'), ('ที่', 'SCONJ'), ('น่ารัก', 'VERB'), ('<s/>', 'PUNCT')]]"
"[[('สิ่ง', 'NOUN'), ('ที่', 'SCONJ'), ('ดี', 'VERB'), ('.', 'PUNCT'), ('<s/>', 'PUNCT')]]","[[('นี่', 'PRON'), ('ไม่ใช่', 'VERB'), ('แผนที่', 'NOUN'), ('ที่', 'SCONJ'), ('ถูกต้อง', 'VERB'), ('<s/>', 'PUNCT')], [('โปรด', 'CCONJ'), ('ผู้ดูแล', 'NOUN'), ('ระบบ', 'NOUN'), ('เปลี่ยน', 'VERB'), ('แผนที่', 'NOUN'), ('สถานที่', 'NOUN'), ('ให้', 'SCONJ'), ('ถูกต้อง', 'VERB'), ('เพราะ', 'SCONJ'), ('นักท่องเที่ยว', 'NOUN'), ('จำนวน', 'NOUN'), ('มาก', 'ADJ'), ('ติดตาม', 'ADP'), ('แผนที่', 'NOUN'), ('ของ', 'ADP'), ('คุณ', 'NOUN'), ('ผิด', 'VERB'), ('ที่', 'NOUN'), ('<s/>', 'PUNCT')]]","[[('วัด', 'NOUN'), ('พุทธ', 'PROPN'), ('ที่', 'SCONJ'), ('สวยงาม', 'VERB'), ('มาก', 'ADV'), ('<s/>', 'PUNCT')], [('สถาปัตยกรรม', 'NOUN'), ('ที่', 'SCONJ'), ('ดี', 'VERB'), ('<s/>', 'PUNCT')], [('ไม่', 'PART'), ('มี', 'VERB'), ('ค่าธรรมเนียม', 'NOUN'), ('แรก', 'ADJ'), ('เข้า', 'VERB'), ('<s/>', 'PUNCT')], [('แต่', 'CCONJ'), ('อย่า', 'AUX'), ('ลืม', 'VERB'), ('ถอด', 'NOUN'), ('รองเท้า', 'NOUN'), ('ก่อน', 'ADV'), ('เข้า', 'VERB'), ('วัด', 'NOUN'), ('<s/>', 'PUNCT')], [('เป็น', 'VERB'), ('ที่', 'NOUN'), ('น่าสนใจ', 'ADJ'), ('ที่', 'SCONJ'), ('จะ', 'AUX'), ('ดู', 'VERB'), ('ว่า', 'SCONJ'), ('พวกเขา', 'PRON'), ('ระเบิด', 'VERB'), ('แครก', 'NOUN'), ('เกอร์', 'NOUN'), ('ภายใน', 'ADP'), ('โดม', 'NOUN'), ('อิฐ', 'NOUN'), ('อย่างไร', 'ADV'), ('<s/>', 'PUNCT')], [('ป.ล.', 'NOUN'), ('<s/>', 'PUNCT')], [('พก', 'NOUN'), ('ร่ม', 'NOUN'), ('และ', 'CCONJ'), ('สวม', 'VERB'), ('ถุงเท้า', 'NOUN'), ('ถ้า', 'SCONJ'), ('คุณ', 'NOUN'), ('รัก', 'VERB'), ('ผิว', 'NOUN'), ('และ', 'CCONJ'), ('เท้า', 'NOUN'), ('ของ', 'ADP'), ('คุณ', 'NOUN'), ('<s/>', 'PUNCT')]]"
"[[('ชายหาด', 'NOUN'), ('ที่', 'SCONJ'), ('ดี', 'VERB'), ('<s/>', 'PUNCT')], [('ค่อนข้าง', 'ADV'), ('แออัด', 'VERB'), ('<s/>', 'PUNCT')], [('แต่', 'CCONJ'), ('ไม่', 'PART'), ('แออัด', 'VERB'), ('อย่าง', 'PART'), ('ที่', 'SCONJ'), ('ฉัน', 'PRON'), ('คาด', 'VERB'), ('ไว้', 'ADV'), ('<s/>', 'PUNCT')], [('มี', 'VERB'), ('อะไร', 'PRON'), ('ให้', 'SCONJ'), ('ทำ', 'VERB'), ('มากมาย', 'ADV'), ('บน', 'ADP'), ('ถนน', 'NOUN'), ('หลาย', 'ADV'), ('สาย', 'NOUN'), ('ที่อยู่', 'VERB'), ('ใกล้', 'ADV'), ('ๆ', 'PUNCT'), ('<s/>', 'PUNCT')], [('เช่นกัน', 'ADV'), ('<s/>', 'PUNCT')]]","[[('สถานที่', 'NOUN'), ('สงบ', 'ADJ'), ('และ', 'CCONJ'), ('เงียบสงบ', 'ADJ'), ('<s/>', 'PUNCT')], [('เยี่ยม', 'NOUN'), ('ชม', 'VERB'), ('สถานที่', 'NOUN'), ('นี้', 'DET'), ('ก่อน', 'SCONJ'), ('พระอาทิตย์', 'NOUN'), ('ตกดิน', 'NOUN'), ('เริ่มต้น', 'VERB'), ('ค้นหา', 'VERB'), ('สถานที่', 'NOUN'), ('ที่', 'SCONJ'), ('สวยงาม', 'VERB'), ('ระหว่าง', 'ADP'), ('ต้นมะพร้าว', 'NOUN'), ('และ', 'CCONJ'), ('เพลิดเพลิน', 'VERB'), ('กับ', 'ADP'), ('ทิวทัศน์', 'NOUN'), ('<s/>', 'PUNCT')], [('ความกังวล', 'NOUN'), ('ทั้งหมด', 'DET'), ('ที่', 'SCONJ'), ('คุณ', 'NOUN'), ('อาจ', 'AUX'), ('มี', 'VERB'), ('จะ', 'AUX'), ('หาย', 'VERB'), ('ไป', 'VERB'), ('<s/>', 'PUNCT')], [('มี', 'VERB'), ('จุด', 'NOUN'), ('เดินป่า', 'NOUN'), ('เล็ก', 'ADJ'), ('ๆ', 'PUNCT'), ('<s/>', 'PUNCT')], [('เช่นกัน', 'ADV'), ('<s/>', 'PUNCT')]]","[[('ไป', 'VERB'), ('เร็ว', 'ADV'), ('มาก', 'ADV'), ('หรือ', 'CCONJ'), ('ช้า', 'ADV'), ('<s/>', 'PUNCT')], [('เวลา', 'NOUN'), ('กลางวัน', 'NOUN'), ('ยุ่ง', 'VERB'), ('มาก', 'ADV'), ('และ', 'CCONJ'), ('ร้อน', 'VERB'), ('มาก', 'ADV'), ('<s/>', 'PUNCT')]]"
"[[('แออัด', 'VERB'), ('ไป', 'ADV'), ('ด้วย', 'ADP'), ('กิจกรรม', 'NOUN'), ('มากมาย', 'ADJ'), ('<s/>', 'PUNCT')], [('คนใน', 'NOUN'), ('ท้องถิ่น', 'NOUN'), ('ที่', 'SCONJ'), ('ทำ', 'VERB'), ('กิจกรรม', 'NOUN'), ('ชายหาด', 'NOUN'), ('นั้น', 'DET'), ('หยาบคาย', 'VERB'), ('และ', 'CCONJ'), ('หยิ่งผยอง', 'NOUN'), ('<s/>', 'PUNCT')]]","[[('สถานที่', 'NOUN'), ('มี', 'VERB'), ('ชื่อเสียง', 'NOUN'), ('ใน', 'ADP'), ('การ', 'NOUN'), ('ชม', 'VERB'), ('พระอาทิตย์', 'NOUN'), ('ตก', 'VERB'), ('ที่', 'ADP'), ('ยิ่งใหญ่', 'VERB'), ('<s/>', 'PUNCT')], [('นอกจากนี้', 'CCONJ'), ('ยัง', 'AUX'), ('มี', 'VERB'), ('ช่วง', 'NOUN'), ('ระยะ', 'NOUN'), ('การ', 'NOUN'), ('เดินทาง', 'VERB'), ('ที่', 'SCONJ'), ('ดี', 'VERB'), ('สิบ', 'NUM'), ('ห้า', 'NUM'), ('ยี่', 'ADV'), ('สิบ', 'NUM'), ('นาที', 'NOUN'), ('<s/>', 'PUNCT')], [('นักท่องเที่ยว', 'NOUN'), ('ส่วนใหญ่', 'ADJ'), ('มา', 'VERB'), ('ที่นี่', 'VERB'), ('เพื่อ', 'SCONJ'), ('ชม', 'VERB'), ('ความ', 'NOUN'), ('งดงาม', 'ADJ'), ('และ', 'CCONJ'), ('เพลิดเพลิน', 'VERB'), ('กับ', 'ADP'), ('ช่วงเวลา', 'NOUN'), ('ที่', 'SCONJ'), ('สงบสุข', 'VERB'), ('รอบ', 'ADP'), ('มหาสมุทร', 'NOUN'), ('<s/>', 'PUNCT')], [('แท้จริง', 'CCONJ'), ('คุณ', 'NOUN'), ('สามารถ', 'AUX'), ('ใช้', 'VERB'), ('เวลา', 'NOUN'), ('หนึ่ง', 'NUM'), ('ชั่วโมง', 'NOUN'), ('หรือ', 'CCONJ'), ('มาก', 'ADV'), ('กว่า', 'ADV'), ('นัน', 'DET'), ('ใน', 'ADP'), ('สถานที่', 'NOUN'), ('<s/>', 'PUNCT')], [('แหลม', 'ADJ'), ('พรหม', 'NOUN'), ('เทพ', 'NOUN'), ('ให้', 'SCONJ'), ('ภาพ', 'NOUN'), ('ที่', 'SCONJ'), ('สวยงาม', 'VERB'), ('ดังนั้น', 'CCONJ'), ('อย่า', 'AUX'), ('ลืม', 'VERB'), ('คลิก', 'NOUN'), ('รูป', 'NOUN'), ('สวย', 'ADJ'), ('ๆ', 'PUNCT'), ('<s/>', 'PUNCT')]]","[[('วัด', 'NOUN'), ('ที่', 'SCONJ'), ('สวยงาม', 'ADJ'), ('และ', 'CCONJ'), ('บรรยากาศ', 'NOUN'), ('อัน', 'SCONJ'), ('เงียบสงบ', 'VERB'), ('<s/>', 'PUNCT')]]"
"[[('ชายหาด', 'NOUN'), ('ที่', 'SCONJ'), ('สวยงาม', 'VERB'), ('พร้อม', 'VERB'), ('น้ำทะเล', 'NOUN'), ('ใส', 'ADJ'), ('<s/>', 'PUNCT')], [('มี', 'VERB'), ('กิจกรรม', 'NOUN'), ('กีฬา', 'NOUN'), ('ทาง', 'ADP'), ('น้ำ', 'NOUN'), ('มากมาย', 'ADV'), ('<s/>', 'PUNCT')], [('มัน', 'PRON'), ('คุ้มค่า', 'VERB'), ('ที่', 'SCONJ'), ('จะ', 'AUX'), ('ไป', 'VERB'), ('ที่นั่น', 'VERB'), ('<s/>', 'PUNCT')]]","[[('มุมมอง', 'NOUN'), ('ที่', 'SCONJ'), ('น่าตื่นตาตื่นใจ', 'VERB'), ('ใน', 'ADP'), ('ทะเล', 'NOUN'), ('และ', 'CCONJ'), ('หมู่เกาะ', 'NOUN'), ('<s/>', 'PUNCT')], [('เส้นทาง', 'NOUN'), ('ลื่น', 'VERB'), ('มาก', 'ADV'), ('และ', 'CCONJ'), ('ต้องการ', 'VERB'), ('ทักษะ', 'NOUN'), ('การ', 'NOUN'), ('ปีน', 'VERB'), ('เขา', 'PRON'), ('เพื่อ', 'SCONJ'), ('ให้', 'SCONJ'), ('ได้', 'VERB'), ('ภาพ', 'NOUN'), ('ที่', 'SCONJ'), ('ดี', 'VERB'), ('ที่สุด', 'ADV'), ('<s/>', 'PUNCT')]]","[[('เยี่ยม', 'NOUN'), ('ชม', 'VERB'), ('ใน', 'ADP'), ('ตอนเช้า', 'NOUN'), ('<s/>', 'PUNCT')], [('สถานที่', 'NOUN'), ('ที่', 'SCONJ'), ('สวยงาม', 'VERB'), ('และ', 'CCONJ'), ('เงียบสงบ', 'VERB'), ('มาก', 'ADV'), ('<s/>', 'PUNCT')]]"
"[[('ชายหาด', 'NOUN'), ('ที่', 'SCONJ'), ('สะอาด', 'VERB'), ('<s/>', 'PUNCT')], [('ใช้', 'VERB'), ('เวลา', 'NOUN'), ('ช่วง', 'NOUN'), ('บ่าย', 'NOUN'), ('ที่', 'SCONJ'), ('น่าอัศจรรย์', 'NOUN'), ('<s/>', 'PUNCT')]]","[[('ต้อง', 'AUX'), ('ไป', 'VERB'), ('เยี่ยม', 'VERB'), ('ชม', 'VERB'), ('สถานที่', 'NOUN'), ('แห่ง', 'NOUN'), ('นี้', 'DET'), ('ทิวทัศน์', 'NOUN'), ('ที่', 'SCONJ'), ('สวยงาม', 'VERB'), ('มาก', 'ADV'), ('โดยเฉพาะ', 'ADV'), ('ใน', 'ADP'), ('ช่วงเวลา', 'NOUN'), ('พระอาทิตย์', 'NOUN'), ('ตก', 'VERB'), ('<s/>', 'PUNCT')], [('สามารถ', 'AUX'), ('มองเห็น', 'VERB'), ('ทะเลอันดามัน', 'NOUN'), ('และ', 'CCONJ'), ('ยัง', 'AUX'), ('คุ้มค่า', 'VERB'), ('แก่', 'ADP'), ('การ', 'NOUN'), ('เยี่ยม', 'VERB'), ('ชม', 'VERB'), ('สำหรับ', 'ADP'), ('ทุก', 'ADV'), ('คน', 'NOUN'), ('<s/>', 'PUNCT')], [('มี', 'VERB'), ('ร้านค้า', 'NOUN'), ('บาง', 'ADV'), ('ร้านขายเสื้อผ้า', 'NOUN'), ('เครื่องดื่ม', 'VERB'), ('และ', 'CCONJ'), ('อื่นๆ', 'VERB'), ('<s/>', 'PUNCT')], [('ค่า', 'NOUN'), ('เข้า', 'VERB'), ('ชม', 'VERB'), ('เป็น', 'VERB'), ('ฟรี', 'NOUN'), ('<s/>', 'PUNCT')], [('ตรวจสอบ', 'VERB'), ('ให้', 'SCONJ'), ('แน่ใจ', 'VERB'), ('ว่า', 'SCONJ'), ('ได้', 'AUX'), ('เดิน', 'VERB'), ('ไป', 'VERB'), ('รอบๆ', 'VERB'), ('<s/>', 'PUNCT')], [('บริเวณ', 'NOUN'), ('นั้น', 'DET'), ('ซึ่ง', 'SCONJ'), ('ประกอบ', 'VERB'), ('ด้วย', 'ADP'), ('เนินเขา', 'NOUN'), ('ขึ้น', 'VERB'), ('ลง', 'ADV'), ('และ', 'CCONJ'), ('ระวัง', 'VERB'), ('ลิง', 'ADV'), ('ด้วย', 'ADV'), ('<s/>', 'PUNCT')]]","[[('วัด', 'NOUN'), ('ฉลอง', 'PROPN'), ('มี', 'VERB'), ('วัด', 'NOUN'), ('ที่', 'SCONJ'), ('สวยงาม', 'ADJ'), ('หลาย', 'ADV'), ('แห่ง', 'NOUN'), ('อยู่', 'VERB'), ('ใน', 'ADP'), ('สภาพ', 'NOUN'), ('ดี', 'ADJ'), ('และ', 'CCONJ'), ('ไม่', 'PART'), ('มี', 'VERB'), ('พวกเขา', 'PRON'), ('อยู่', 'VERB'), ('ใน', 'ADP'), ('ขั้นตอน', 'NOUN'), ('การ', 'NOUN'), ('ปรับปรุง', 'VERB'), ('บาง', 'NUM'), ('ส่วน', 'NOUN'), ('ภายนอก', 'ADJ'), ('<s/>', 'PUNCT')], [('แต่', 'CCONJ'), ('มัน', 'PRON'), ('ไม่ได้', 'VERB'), ('ส่งผลกระทบ', 'VERB'), ('ต่อ', 'ADP'), ('ประสบการณ์', 'NOUN'), ('<s/>', 'PUNCT')], [('มี', 'VERB'), ('นักท่องเที่ยว', 'NOUN'), ('ไม่', 'PART'), ('มาก', 'ADV'), ('นัก', 'ADV'), ('เมื่อ', 'SCONJ'), ('เรา', 'PRON'), ('อยู่', 'VERB'), ('ที่นั่น', 'PRON'), ('ใน', 'ADP'), ('ช่วง', 'NOUN'), ('เที่ยง', 'NOUN'), ('วันศุกร์', 'NOUN'), ('ใน', 'ADP'), ('ช่วง', 'NOUN'), ('ฤดูท่องเที่ยว', 'NOUN'), ('<s/>', 'PUNCT')], [('เมื่อ', 'SCONJ'), ('เรา', 'PRON'), ('เข้า', 'VERB'), ('ไป', 'VERB'), ('ใน', 'ADP'), ('วัด', 'NOUN'), ('ที่', 'SCONJ'), ('ใหญ่', 'ADJ'), ('ที่สุด', 'ADV'), ('ไม่', 'PART'), ('มี', 'VERB'), ('ใคร', 'PRON'), ('แจก', 'VERB'), ('โสร่ง', 'NOUN'), ('<s/>', 'PUNCT')], [('แต่', 'CCONJ'), ('มี', 'VERB'), ('บาง', 'ADV'), ('คน', 'NOUN'), ('เมื่อ', 'SCONJ'), ('เรา', 'PRON'), ('ออก', 'VERB'), ('ไป', 'VERB'), ('<s/>', 'PUNCT')], [('ดี', 'VERB'), ('กว่า', 'ADV'), ('ที่', 'SCONJ'), ('จะ', 'AUX'), ('สวมใส่', 'VERB'), ('เสื้อผ้า', 'NOUN'), ('ที่', 'SCONJ'), ('เรียบง่าย', 'VERB'), ('ไม่', 'PART'), ('มี', 'VERB'), ('เสื้อกล้าม', 'NOUN'), ('และ', 'CCONJ'), ('หัวเข่า', 'VERB'), ('ปกคลุม', 'VERB'), ('สำหรับ', 'ADP'), ('ผู้หญิง', 'NOUN'), ('<s/>', 'PUNCT')], [('สามารถ', 'AUX'), ('แนะนำ', 'VERB'), ('ให้', 'SCONJ'), ('ดู', 'VERB'), ('อย่าง', 'PART'), ('แน่นอน', 'ADV'), ('<s/>', 'PUNCT')], [('โดยเฉพาะ', 'ADP'), ('ด้าน', 'NOUN'), ('ใน', 'ADP'), ('ของวัด', 'NOUN'), ('หลัก', 'ADJ'), ('นั้น', 'DET'), ('งดงาม', 'ADJ'), ('และ', 'CCONJ'), ('น่าสนใจ', 'ADJ'), ('<s/>', 'PUNCT')]]"
