noun,adj,distance,noun,adv,distance,noun,verb,distance
(บริเวณ - NOUN),(ใกล้เคียง - ADJ),0,(บริเวณ - NOUN),(กว่า - ADV),3,(บริเวณ - NOUN),(ดี - VERB),2
(หาด - NOUN),(สวย - ADJ),0,(ทราย - NOUN),(มาก - ADV),3,(ทราย - NOUN),(ดี - VERB),1
(ชายหาด - NOUN),(สวย - ADJ),0,(แออัด - NOUN),(น้อย - ADV),0,(ทราย - NOUN),(แออัด - VERB),2
(กิจกรรม - NOUN),(มากมาย - ADJ),0,(แออัด - NOUN),(อีกหน่อย - ADV),5,(น้ำ - NOUN),(ชัดเจน - VERB),1
(ชายหาด - NOUN),(ใส - ADJ),4,(คุณ - NOUN),(อีกหน่อย - ADV),2,(ชายหาด - NOUN),(สนุก - VERB),1
(น้ำทะเล - NOUN),(ใส - ADJ),0,(ชายหาด - NOUN),(ดี - ADV),1,(แออัด - NOUN),(เดิน - VERB),3
(คน - NOUN),(ดี - ADJ),0,(ขยะ - NOUN),(ใดๆ - ADV),0,(แออัด - NOUN),(ไป - VERB),4
(กลิ่น - NOUN),(น่ากลัว - ADJ),1,(กิจกรรม - NOUN),(มากมาย - ADV),2,(คุณ - NOUN),(เดิน - VERB),0
(เมือง - NOUN),(น่ากลัว - ADJ),0,(น้ำ - NOUN),(มากมาย - ADV),0,(คุณ - NOUN),(ไป - VERB),1
(น้ำ - NOUN),(ใส - ADJ),1,(ถนน - NOUN),(หลาย - ADV),0,(สิ่ง - NOUN),(ดี - VERB),1
(น้ำ - NOUN),(ตื้น - ADJ),3,(ถนน - NOUN),(ใกล้ - ADV),3,(ชายหาด - NOUN),(ดี - VERB),1
(คน - NOUN),(น่าเกลียด - ADJ),0,(สาย - NOUN),(ใกล้ - ADV),1,(ถนน - NOUN),(ที่อยู่ - VERB),2
(คน - NOUN),(มีเสียง - ADJ),2,(กิจกรรม - NOUN),(มากมาย - ADV),3,(สาย - NOUN),(ที่อยู่ - VERB),0
(คน - NOUN),(ดัง - ADJ),3,(กีฬา - NOUN),(มากมาย - ADV),2,(คนใน - NOUN),(ทำ - VERB),2
(กรณี - NOUN),(ใดๆ - ADJ),0,(น้ำ - NOUN),(มากมาย - ADV),0,(คนใน - NOUN),(หยาบคาย - VERB),6
(กิจกรรม - NOUN),(มากมาย - ADJ),0,(ชายหาด - NOUN),(ใกล้ - ADV),2,(ท้องถิ่น - NOUN),(ทำ - VERB),1
(คุณ - NOUN),(พักผ่อน - ADJ),5,(ชายหาด - NOUN),(มากมาย - ADV),5,(ท้องถิ่น - NOUN),(หยาบคาย - VERB),5
(ที่นั่ง - NOUN),(พักผ่อน - ADJ),2,(สิ่งอำนวยความสะดวก - NOUN),(มากมาย - ADV),0,(กิจกรรม - NOUN),(หยาบคาย - VERB),2
(สถานที่ - NOUN),(พักผ่อน - ADJ),0,(ตลาด - NOUN),(บาง - ADV),0,(ชายหาด - NOUN),(หยาบคาย - VERB),1
(ความ - NOUN),(งดงาม - ADJ),2,(ห้า - NOUN),(ได้ - ADV),7,(ชายหาด - NOUN),(สวยงาม - VERB),1
(อากาศ - NOUN),(ดี - ADJ),0,(ดาว - NOUN),(ได้ - ADV),6,(ชายหาด - NOUN),(พร้อม - VERB),2
(กิจกรรม - NOUN),(มากมาย - ADJ),0,(ปัญหา - NOUN),(ได้ - ADV),1,(ชายหาด - NOUN),(สะอาด - VERB),1
(อาหาร - NOUN),(มากมาย - ADJ),0,(พลาสติก - NOUN),(ได้ - ADV),0,(ชายหาด - NOUN),(น่ารัก - VERB),1
(ระยะทาง - NOUN),(น่าสนใจ - ADJ),6,(นัก - NOUN),(มากมาย - ADV),1,(ห้า - NOUN),(แยกแยะ - VERB),4
(ระยะทาง - NOUN),(ส่วนใหญ่ - ADJ),9,(พื้นที่ - NOUN),(ใกล้ - ADV),4,(ดาว - NOUN),(แยกแยะ - VERB),3
(หอพัก - NOUN),(น่าสนใจ - ADJ),2,(พื้นที่ - NOUN),(บาง - ADV),7,(นัก - NOUN),(ช้อป - VERB),0
(หอพัก - NOUN),(ส่วนใหญ่ - ADJ),5,(ชายหาด - NOUN),(ใกล้ - ADV),3,(ชายหาด - NOUN),(สะอาด - VERB),1
(สถานที่ - NOUN),(น่าสนใจ - ADJ),0,(ชายหาด - NOUN),(บาง - ADV),6,(พื้นที่ - NOUN),(ตอง - VERB),3
(สถานที่ - NOUN),(ส่วนใหญ่ - ADJ),3,(หลัก - NOUN),(ใกล้ - ADV),2,(ชายหาด - NOUN),(ตอง - VERB),2
(พื้นที่ - NOUN),(ส่วนใหญ่ - ADJ),0,(หลัก - NOUN),(บาง - ADV),5,(หลัก - NOUN),(ตอง - VERB),1
(ตลาด - NOUN),(สด - ADJ),4,(ป่า - NOUN),(ใกล้ - ADV),1,(ป่า - NOUN),(ตอง - VERB),0
(ตลาด - NOUN),(เล็ก - ADJ),9,(ป่า - NOUN),(บาง - ADV),4,(สถานที่ท่องเที่ยว - NOUN),(ดี - VERB),3
(บริการ - NOUN),(สด - ADJ),1,(ถนน - NOUN),(บาง - ADV),0,(น้ำ - NOUN),(ดี - VERB),1
(บริการ - NOUN),(เล็ก - ADJ),6,(ชายหาด - NOUN),(มาก - ADV),4,(ชายหาด - NOUN),(ได้รับ - VERB),1
(ปลา - NOUN),(สด - ADJ),0,(ชายหาด - NOUN),(ที่สุด - ADV),5,(ชายหาด - NOUN),(นิยม - VERB),3
(ปลา - NOUN),(เล็ก - ADJ),5,(ความ - NOUN),(มาก - ADV),1,(ความ - NOUN),(นิยม - VERB),0
(ร้านค้า - NOUN),(เล็ก - ADJ),0,(ความ - NOUN),(ที่สุด - ADV),2,(ชายหาด - NOUN),(สวยงาม - VERB),1
(คุณ - NOUN),(ทั้งหมด - ADJ),5,(สถานที่ - NOUN),(ที่สุด - ADV),2,(สถานที่ - NOUN),(สวยงาม - VERB),1
(อาหาร - NOUN),(ทั้งหมด - ADJ),2,(สถานที่ - NOUN),(เกินไป - ADV),7,(สถานที่ - NOUN),(ตก - VERB),3
(เครื่องดื่ม - NOUN),(ทั้งหมด - ADJ),0,(สถานที่ - NOUN),(จริงๆ - ADV),12,(พระอาทิตย์ - NOUN),(ตก - VERB),0
(พื้นที่ - NOUN),(นั่งเล่น - ADJ),0,(ประเทศ - NOUN),(เกินไป - ADV),2,(สถานที่ - NOUN),(เลวร้าย - VERB),1
(ระยะทาง - NOUN),(สั้น - ADJ),0,(ประเทศ - NOUN),(จริงๆ - ADV),7,(สถานที่ - NOUN),(แออัด - VERB),6
(ผู้ค้า - NOUN),(มากมาย - ADJ),2,(กลิ่น - NOUN),(จริงๆ - ADV),2,(สถานที่ - NOUN),(มี - VERB),8
(อาหาร - NOUN),(มากมาย - ADJ),1,(คน - NOUN),(สุด - ADV),4,(สถานที่ - NOUN),(ดี - VERB),11
(ข้างถนน - NOUN),(มากมาย - ADJ),0,(ชื่อเสียง - NOUN),(มาก - ADV),0,(ประเทศ - NOUN),(แออัด - VERB),1
(เครื่องดื่ม - NOUN),(ร้อน - ADJ),6,(ชื่อเสียง - NOUN),(มาก - ADV),6,(ประเทศ - NOUN),(มี - VERB),3
(น้ำมะพร้าว - NOUN),(ร้อน - ADJ),5,(ชายหาด - NOUN),(มาก - ADV),2,(ประเทศ - NOUN),(ดี - VERB),6
(อาหาร - NOUN),(ร้อน - ADJ),1,(คุณ - NOUN),(เครื่องหมาย - ADV),11,(กลิ่น - NOUN),(ดี - VERB),1
(จาน - NOUN),(ร้อน - ADJ),0,(คุณ - NOUN),(ด้วย - ADV),12,(ชายหาด - NOUN),(แทน - VERB),1
(โรตี - NOUN),(หวาน - ADJ),5,(การ - NOUN),(เครื่องหมาย - ADV),7,(ชื่อเสียง - NOUN),(เป็น - VERB),2
(กล้วย - NOUN),(หวาน - ADJ),2,(การ - NOUN),(ด้วย - ADV),8,(ชื่อเสียง - NOUN),(แออัด - VERB),5
(นม - NOUN),(หวาน - ADJ),0,(คุณ - NOUN),(เครื่องหมาย - ADV),5,(ชายหาด - NOUN),(แออัด - VERB),1
(บาร์ - NOUN),(มากมาย - ADJ),0,(คุณ - NOUN),(ด้วย - ADV),6,(คุณ - NOUN),(ต้องการ - VERB),0
(การ - NOUN),(พิมพ์ - ADJ),9,(พื้นที่ - NOUN),(เครื่องหมาย - ADV),2,(คุณ - NOUN),(สนุก - VERB),1
(การ - NOUN),(ทั้งหมด - ADJ),10,(พื้นที่ - NOUN),(ด้วย - ADV),3,(คุณ - NOUN),(ว่ายน้ำ - VERB),4
(การ - NOUN),(มากมาย - ADJ),21,(พื้นที่ - NOUN),(ได้ - ADV),4,(คุณ - NOUN),(ได้รับ - VERB),7
(การ - NOUN),(เยอะ - ADJ),32,(ร้านค้า - NOUN),(เกิน - ADV),7,(คุณ - NOUN),(ทำ - VERB),10
(คุณ - NOUN),(พิมพ์ - ADJ),5,(ร้านค้า - NOUN),(จริง - ADV),8,(การ - NOUN),(ว่ายน้ำ - VERB),0
(คุณ - NOUN),(ทั้งหมด - ADJ),6,(ที่อยู่ - NOUN),(เกิน - ADV),6,(การ - NOUN),(ได้รับ - VERB),3
(คุณ - NOUN),(มากมาย - ADJ),17,(ที่อยู่ - NOUN),(จริง - ADV),7,(การ - NOUN),(ทำ - VERB),6
(คุณ - NOUN),(เยอะ - ADJ),28,(ข้าง - NOUN),(เกิน - ADV),5,(คุณ - NOUN),(ได้รับ - VERB),1
(กีฬา - NOUN),(พิมพ์ - ADJ),3,(ข้าง - NOUN),(จริง - ADV),6,(คุณ - NOUN),(ทำ - VERB),4
(กีฬา - NOUN),(ทั้งหมด - ADJ),4,(ชายหาด - NOUN),(เกิน - ADV),4,(พื้นที่ - NOUN),(ทำ - VERB),1
(กีฬา - NOUN),(มากมาย - ADJ),15,(ชายหาด - NOUN),(จริง - ADV),5,(พื้นที่ - NOUN),(ว่ายน้ำ - VERB),3
(กีฬา - NOUN),(เยอะ - ADJ),26,(การ - NOUN),(เกิน - ADV),1,(คุณ - NOUN),(ต้องการ - VERB),0
(น้ำ - NOUN),(พิมพ์ - ADJ),1,(การ - NOUN),(จริง - ADV),2,(คุณ - NOUN),(เพลิดเพลิน - VERB),1
(น้ำ - NOUN),(ทั้งหมด - ADJ),2,(น้ำมะพร้าว - NOUN),(ห้า - ADV),4,(คุณ - NOUN),(ไป - VERB),2
(น้ำ - NOUN),(มากมาย - ADJ),13,(ลูก - NOUN),(ห้า - ADV),2,(คุณ - NOUN),(เป็น - VERB),9
(น้ำ - NOUN),(เยอะ - ADJ),24,(ประสบการณ์ - NOUN),(ดี - ADV),2,(แสง - NOUN),(เป็น - VERB),4
(ราคา - NOUN),(พิมพ์ - ADJ),0,(ประสบการณ์ - NOUN),(มาก - ADV),3,(ดวงอาทิตย์ - NOUN),(เป็น - VERB),2
(ราคา - NOUN),(ทั้งหมด - ADJ),1,(โรงแรม - NOUN),(ไป - ADV),10,(คุณ - NOUN),(ไม่ได้ - VERB),1
(ราคา - NOUN),(มากมาย - ADJ),12,(ชายหาด - NOUN),(ไป - ADV),6,(ร้านค้า - NOUN),(มี - VERB),4
(ราคา - NOUN),(เยอะ - ADJ),23,(คุณ - NOUN),(ไป - ADV),3,(ร้านค้า - NOUN),(พูด - VERB),6
(เท่า - NOUN),(มากมาย - ADJ),7,(ถนน - NOUN),(ตรงข้าม - ADV),3,(ที่อยู่ - NOUN),(มี - VERB),3
(เท่า - NOUN),(เยอะ - ADJ),18,(ลา - NOUN),(ตรงข้าม - ADV),1,(ที่อยู่ - NOUN),(พูด - VERB),5
(ราคา - NOUN),(มากมาย - ADJ),5,(ร้านอาหาร - NOUN),(มาก - ADV),2,(ข้าง - NOUN),(มี - VERB),2
(ราคา - NOUN),(เยอะ - ADJ),16,(ร้านอาหาร - NOUN),(ใกล้ - ADV),4,(ข้าง - NOUN),(พูด - VERB),4
(สถานที่ - NOUN),(มากมาย - ADJ),1,(ชายหาด - NOUN),(ไป - ADV),2,(ชายหาด - NOUN),(มี - VERB),1
(สถานที่ - NOUN),(เยอะ - ADJ),12,(ชายหาด - NOUN),(หน่อย - ADV),3,(ชายหาด - NOUN),(พูด - VERB),3
(ระยะ - NOUN),(เยอะ - ADJ),8,(อากาศ - NOUN),(มาก - ADV),1,(การ - NOUN),(พูด - VERB),0
(แว่นตา - NOUN),(เยอะ - ADJ),1,(ชายหาด - NOUN),(ไว้ - ADV),5,(น้ำมะพร้าว - NOUN),(เสียค่าใช้จ่าย - VERB),3
(กันแดด - NOUN),(เยอะ - ADJ),0,(ชายหาด - NOUN),(ดี - ADV),7,(ลูก - NOUN),(เสียค่าใช้จ่าย - VERB),1
(ชายหาด - NOUN),(สวย - ADJ),0,(ชายหาด - NOUN),(แน่นอน - ADV),11,(ประสบการณ์ - NOUN),(รวม - VERB),1
(น้ำทะเล - NOUN),(อบอุ่น - ADJ),1,(ตัวเลือก - NOUN),(มากมาย - ADV),2,(ความ - NOUN),(งาม - VERB),0
(น้ำทะเล - NOUN),(สีเหลือง - ADJ),4,(การ - NOUN),(มากมาย - ADV),1,(ความ - NOUN),(โดดเด่น - VERB),8
(สีฟ้า - NOUN),(อบอุ่น - ADJ),0,(ทั้งหมด - NOUN),(ได้ - ADV),6,(พฤติกรรม - NOUN),(โดดเด่น - VERB),3
(สีฟ้า - NOUN),(สีเหลือง - ADJ),3,(ระยะ - NOUN),(ได้ - ADV),3,(ผู้คน - NOUN),(โดดเด่น - VERB),1
(หาดทราย - NOUN),(สีเหลือง - ADJ),0,(ชายหาด - NOUN),(มาก - ADV),4,(โรงแรม - NOUN),(ไป - VERB),0
(อาหาร - NOUN),(มากมาย - ADJ),4,(ชายหาด - NOUN),(ที่สุด - ADV),5,(โรงแรม - NOUN),(ติด - VERB),1
(อาหาร - NOUN),(ใกล้เคียง - ADJ),7,(ชายหาด - NOUN),(ตลอด - ADV),11,(โรงแรม - NOUN),(เพลิดเพลิน - VERB),9
(ผลไม้ - NOUN),(มากมาย - ADJ),2,(ความ - NOUN),(มาก - ADV),1,(โรงแรม - NOUN),(สวยงาม - VERB),14
(ผลไม้ - NOUN),(ใกล้เคียง - ADJ),5,(ความ - NOUN),(ที่สุด - ADV),2,(ชายหาด - NOUN),(เพลิดเพลิน - VERB),5
(เครื่องดื่ม - NOUN),(มากมาย - ADJ),0,(ความ - NOUN),(ตลอด - ADV),8,(ชายหาด - NOUN),(สวยงาม - VERB),10
(เครื่องดื่ม - NOUN),(ใกล้เคียง - ADJ),3,(เกาะ - NOUN),(ตลอด - ADV),3,(คุณ - NOUN),(เพลิดเพลิน - VERB),2
(บริเวณ - NOUN),(ใกล้เคียง - ADJ),0,(สิ่งมีชีวิต - NOUN),(ตลอด - ADV),0,(คุณ - NOUN),(สวยงาม - VERB),7
(ชายหาด - NOUN),(ใกล้เคียง - ADJ),7,(ตรงกลาง - NOUN),(ทุก - ADV),1,(สภาพแวดล้อม - NOUN),(สวยงาม - VERB),1
(ผับ - NOUN),(ใกล้เคียง - ADJ),2,(จุด - NOUN),(ที่สุด - ADV),2,(ถนน - NOUN),(อยู่ - VERB),2
(บริเวณ - NOUN),(ใกล้เคียง - ADJ),0,(คุณ - NOUN),(ได้ - ADV),9,(ลา - NOUN),(อยู่ - VERB),0
(ชายหาด - NOUN),(สวย - ADJ),0,(คุณ - NOUN),(ที่นี่ - ADV),13,(ร้านอาหาร - NOUN),(ดี - VERB),1
(ชายหาด - NOUN),(ใหญ่ - ADJ),19,(อาหาร - NOUN),(ได้ - ADV),6,(ร้านอาหาร - NOUN),(อยู่ - VERB),3
(อย่าง - NOUN),(ใหญ่ - ADJ),14,(อาหาร - NOUN),(ที่นี่ - ADV),10,(คุณ - NOUN),(เดิน - VERB),1
(ชายหาด - NOUN),(ใหญ่ - ADJ),9,(เครื่องดื่ม - NOUN),(ได้ - ADV),4,(คุณ - NOUN),(ตอนกลางคืน - VERB),2
(กีฬา - NOUN),(ใหญ่ - ADJ),5,(เครื่องดื่ม - NOUN),(ที่นี่ - ADV),8,(คุณ - NOUN),(เพลิดเพลิน - VERB),5
(น้ำ - NOUN),(ใหญ่ - ADJ),3,(คุณ - NOUN),(ได้ - ADV),0,(คุณ - NOUN),(แสดง - VERB),8
(ขนาด - NOUN),(ใหญ่ - ADJ),0,(คุณ - NOUN),(ที่นี่ - ADV),4,(ริมทะเล - NOUN),(เพลิดเพลิน - VERB),1
(ผู้คน - NOUN),(มากมาย - ADJ),0,(วิว - NOUN),(ที่นี่ - ADV),0,(ริมทะเล - NOUN),(แสดง - VERB),4
(วัน - NOUN),(มากมาย - ADJ),2,(เดือนธันวาคม - NOUN),(ค่อนข้าง - ADV),0,(การ - NOUN),(แสดง - VERB),0
(ชาวบ้าน - NOUN),(มากมาย - ADJ),0,(นาที - NOUN),(ถูกต้อง - ADV),4,(ชายหาด - NOUN),(แออัด - VERB),1
(ประสบการณ์ - NOUN),(สะอาด - ADJ),3,(รถ - NOUN),(ด้วย - ADV),10,(อากาศ - NOUN),(อุ่น - VERB),3
(ประสบการณ์ - NOUN),(สวยงาม - ADJ),5,(คุณ - NOUN),(ด้วย - ADV),5,(อากาศ - NOUN),(อุ่น - VERB),0
(ชายหาด - NOUN),(สะอาด - ADJ),0,(โรงแรม - NOUN),(ด้วย - ADV),0,(ชายหาด - NOUN),(ได้รับ - VERB),0
(ชายหาด - NOUN),(สวยงาม - ADJ),2,(คุณ - NOUN),(ต่อไป - ADV),1,(ชายหาด - NOUN),(ดูแลรักษา - VERB),2
(ผู้ขาย - NOUN),(หนัก - ADJ),4,(ชื่อเสียง - NOUN),(มาก - ADV),0,(การ - NOUN),(ดูแลรักษา - VERB),0
(ผู้ขาย - NOUN),(เหนียว - ADJ),6,(บาร์ - NOUN),(รอบๆ - ADV),1,(กิจกรรม - NOUN),(ที่นี่ - VERB),1
(ท้องถิ่น - NOUN),(หนัก - ADJ),2,(ชายหาด - NOUN),(ค่อนข้าง - ADV),1,(กิจกรรม - NOUN),(เล่น - VERB),4
(ท้องถิ่น - NOUN),(เหนียว - ADJ),4,(ชายหาด - NOUN),(เจ็ทสกี - ADV),11,(การ - NOUN),(เล่น - VERB),0
(นักพูด - NOUN),(หนัก - ADJ),0,(น้ำ - NOUN),(เจ็ทสกี - ADV),7,(เจ้าหน้าที่ - NOUN),(รักษา - VERB),0
(นักพูด - NOUN),(เหนียว - ADJ),2,(กีฬา - NOUN),(เจ็ทสกี - ADV),3,(เจ้าหน้าที่ - NOUN),(ประจำ - VERB),2
(ประสบการณ์ - NOUN),(แพง - ADJ),1,(น้ำ - NOUN),(เจ็ทสกี - ADV),1,(ความปลอดภัย - NOUN),(ประจำ - VERB),0
(ราคา - NOUN),(แพง - ADJ),0,(การ - NOUN),(มากมาย - ADV),1,(อาหาร - NOUN),(ริ - VERB),1
(กรีดร้อง - NOUN),(ย้าย - ADJ),1,(การ - NOUN),(ประมาณ - ADV),11,(การ - NOUN),(เช่า - VERB),0
(ชายหาด - NOUN),(มากมาย - ADJ),5,(การ - NOUN),(จริง - ADV),16,(การ - NOUN),(สำรวจ - VERB),5
(น้ำ - NOUN),(มากมาย - ADJ),0,(การ - NOUN),(ได้ - ADV),26,(สกู๊ต - NOUN),(สำรวจ - VERB),3
(การค้าขาย - NOUN),(มากมาย - ADJ),0,(คุณ - NOUN),(ประมาณ - ADV),7,(เตอร์ - NOUN),(สำรวจ - VERB),2
(โรงแรม - NOUN),(ใกล้เคียง - ADJ),7,(คุณ - NOUN),(จริง - ADV),12,(ชายหาด - NOUN),(ดี - VERB),1
(รีสอร์ท - NOUN),(ใกล้เคียง - ADJ),5,(คุณ - NOUN),(ได้ - ADV),22,(ชายหาด - NOUN),(สะอาด - VERB),2
(แห่ง - NOUN),(ใกล้เคียง - ADJ),2,(กีฬา - NOUN),(ประมาณ - ADV),5,(ชายหาด - NOUN),(เก็บ - VERB),4
(บริเวณ - NOUN),(ใกล้เคียง - ADJ),0,(กีฬา - NOUN),(จริง - ADV),10,(ชายหาด - NOUN),(ปลอดภัย - VERB),9
(คุณ - NOUN),(ส่วนตัว - ADJ),7,(กีฬา - NOUN),(ได้ - ADV),20,(ชายหาด - NOUN),(แปลก - VERB),16
(คุณ - NOUN),(โน - ADJ),15,(น้ำ - NOUN),(ประมาณ - ADV),3,(เวลา - NOUN),(แปลก - VERB),1
(ชายหาด - NOUN),(ส่วนตัว - ADJ),2,(น้ำ - NOUN),(จริง - ADV),8,(สิ่งใดสิ่งหนึ่ง - NOUN),(ต้องการ - VERB),2
(ชายหาด - NOUN),(โน - ADJ),10,(น้ำ - NOUN),(ได้ - ADV),18,(ระยะทาง - NOUN),(เดิน - VERB),0
(ประสบการณ์ - NOUN),(ส่วนตัว - ADJ),0,(ราคา - NOUN),(ประมาณ - ADV),2,(ระยะทาง - NOUN),(ไป - VERB),1
(ประสบการณ์ - NOUN),(โน - ADJ),8,(ราคา - NOUN),(จริง - ADV),7,(ตัวเลือก - NOUN),(กิน - VERB),1
(ชายหาด - NOUN),(โน - ADJ),4,(ราคา - NOUN),(ได้ - ADV),17,(การ - NOUN),(กิน - VERB),0
(หน้า - NOUN),(โน - ADJ),1,(เท่า - NOUN),(จริง - ADV),2,(ตลาด - NOUN),(ให้ - VERB),1
(รีสอร์ท - NOUN),(โน - ADJ),0,(เท่า - NOUN),(ได้ - ADV),12,(ตลาด - NOUN),(ไป - VERB),5
, , ,(ราคา - NOUN),(จริง - ADV),0,(ตลาด - NOUN),(ถึง - VERB),7
, , ,(ราคา - NOUN),(ได้ - ADV),10,(บริการ - NOUN),(ไป - VERB),2
, , ,(สถานที่ - NOUN),(ได้ - ADV),6,(บริการ - NOUN),(ถึง - VERB),4
, , ,(ระยะ - NOUN),(ได้ - ADV),2,(ปลา - NOUN),(ไป - VERB),1
, , ,(น้ำ - NOUN),(มาก - ADV),0,(ปลา - NOUN),(ถึง - VERB),3
, , ,(ชายหาด - NOUN),(มาก - ADV),1,(คนใน - NOUN),(กิน - VERB),1
, , ,(หาด - NOUN),(น้อย - ADV),4,(ท้องถิ่น - NOUN),(กิน - VERB),0
, , ,(คา - NOUN),(น้อย - ADV),3,(ทั้งหมด - NOUN),(อยู่ - VERB),0
, , ,(รอน - NOUN),(น้อย - ADV),2,(ทั้งหมด - NOUN),(เดินเท้า - VERB),5
, , ,(คนอื่น - NOUN),(น้อย - ADV),0,(ระยะ - NOUN),(เดินเท้า - VERB),2
, , ,(คุณ - NOUN),(ที่นั่น - ADV),6,(ชายหาด - NOUN),(ได้รับ - VERB),1
, , ,(การ - NOUN),(ที่นั่น - ADV),1,(ชายหาด - NOUN),(นิยม - VERB),3
, , ,(ชายหาด - NOUN),(ที่สุด - ADV),2,(ความ - NOUN),(นิยม - VERB),0
, , ,(ชายหาด - NOUN),(ขึ้น - ADV),5,(คุณ - NOUN),(ค้นหา - VERB),1
, , ,(ชายหาด - NOUN),(มาก - ADV),6,(คุณ - NOUN),(หลากหลาย - VERB),9
, , ,(ชายหาด - NOUN),(ที่สุด - ADV),7,(ร้านอาหาร - NOUN),(หลากหลาย - VERB),6
, , ,(สถานที่ - NOUN),(เสมอ - ADV),4,(สปา - NOUN),(หลากหลาย - VERB),5
, , ,(แห่ง - NOUN),(เสมอ - ADV),3,(บาร์ - NOUN),(หลากหลาย - VERB),3
, , ,(นักท่องเที่ยว - NOUN),(เสมอ - ADV),0,(ประสบการณ์ - NOUN),(หลากหลาย - VERB),1
, , ,(สถานที่ - NOUN),(เช่นกัน - ADV),11,(จุด - NOUN),(ดี - VERB),1
, , ,(การ - NOUN),(เช่นกัน - ADV),7,(จุด - NOUN),(ชม - VERB),9
, , ,(เวลา - NOUN),(เช่นกัน - ADV),5,(จุด - NOUN),(ตก - VERB),11
, , ,(ตอนเย็น - NOUN),(เช่นกัน - ADV),3,(แห่ง - NOUN),(ชม - VERB),5
, , ,(อ่างอาบน้ำ - NOUN),(เช่นกัน - ADV),0,(แห่ง - NOUN),(ตก - VERB),7
, , ,(ชายหาด - NOUN),(มาก - ADV),1,(จังหวัด - NOUN),(ชม - VERB),2
, , ,(ชายหาด - NOUN),(เต็มไปด้วย - ADV),3,(จังหวัด - NOUN),(ตก - VERB),4
, , ,(ชายหาด - NOUN),(มาก - ADV),1,(พระอาทิตย์ - NOUN),(ตก - VERB),0
, , ,(ชายหาด - NOUN),(ทุก - ADV),3,(คุณ - NOUN),(นำ - VERB),1
, , ,(ไม่ใช่ - NOUN),(ที่สุด - ADV),5,(คุณ - NOUN),(มา - VERB),6
, , ,(ชายหาด - NOUN),(ที่สุด - ADV),4,(คุณ - NOUN),(ให้ - VERB),7
, , ,(ชายหาด - NOUN),(ใกล้ - ADV),5,(คุณ - NOUN),(เพลิดเพลิน - VERB),10
, , ,(ชายหาด - NOUN),(ขึ้น - ADV),14,(อาหาร - NOUN),(มา - VERB),3
, , ,(ชีวิตชีวา - NOUN),(ใกล้ - ADV),2,(อาหาร - NOUN),(ให้ - VERB),4
, , ,(ชีวิตชีวา - NOUN),(ขึ้น - ADV),11,(อาหาร - NOUN),(เพลิดเพลิน - VERB),7
, , ,(สถานบันเทิง - NOUN),(ขึ้น - ADV),6,(เครื่องดื่ม - NOUN),(มา - VERB),1
, , ,(ยาม - NOUN),(ขึ้น - ADV),5,(เครื่องดื่ม - NOUN),(ให้ - VERB),2
, , ,(ค่ำคืน - NOUN),(ขึ้น - ADV),4,(เครื่องดื่ม - NOUN),(เพลิดเพลิน - VERB),5
, , ,(สถานที่ - NOUN),(ขึ้น - ADV),2,(คุณ - NOUN),(เพลิดเพลิน - VERB),1
, , ,(ชายหาด - NOUN),(หนัก - ADV),15,(ไม่ใช่ - NOUN),(สะอาด - VERB),2
, , ,(ใจ - NOUN),(หนัก - ADV),12,(ชายหาด - NOUN),(สะอาด - VERB),1
, , ,(คุณ - NOUN),(หนัก - ADV),7,(เดือนธันวาคม - NOUN),(อบอุ่น - VERB),1
, , ,(ความ - NOUN),(ไว้ - ADV),4,(เดือนธันวาคม - NOUN),(ไป - VERB),4
, , ,(ความ - NOUN),(ที่อื่น - ADV),7,(โรงแรม - NOUN),(อยู่ - VERB),0
, , ,(ทำเล - NOUN),(ดี - ADV),2,(โรงแรม - NOUN),(ข้อเสนอ - VERB),2
, , ,(ทำเล - NOUN),(มาก - ADV),3,(โรงแรม - NOUN),(รับ - VERB),5
, , ,(หมัด - NOUN),(มาก - ADV),1,(โรงแรม - NOUN),(ส่ง - VERB),6
, , ,(ขา - NOUN),(ที่นั่น - ADV),4,(โรงแรม - NOUN),(ไป - VERB),7
, , ,(จุด - NOUN),(ทั้ง - ADV),5,(บริการ - NOUN),(รับ - VERB),1
, , ,(ขา - NOUN),(ทั้ง - ADV),0,(บริการ - NOUN),(ส่ง - VERB),2
, , ,(ผู้คน - NOUN),(บาง - ADV),8,(บริการ - NOUN),(ไป - VERB),3
, , ,(ผู้คน - NOUN),(ขึ้น - ADV),12,(รถ - NOUN),(รับ - VERB),0
