noun,adj,distance,noun,adv,distance,noun,verb,distance
(เวลา - NOUN),(เล็ก - ADJ),10,(เวลา - NOUN),(ประมาณ - ADV),0,(จุด - NOUN),(ชม - VERB),0
(นาที - NOUN),(เล็ก - ADJ),3,(คน - NOUN),(มาก - ADV),1,(ชายฝั่ง - NOUN),(ใกล้ - VERB),0
(เส้นทาง - NOUN),(เล็ก - ADJ),0,(คน - NOUN),(มาก - ADV),4,(จุด - NOUN),(ชม - VERB),0
(คน - NOUN),(เยอะ - ADJ),0,(คน - NOUN),(ไร้สาระ - ADV),6,(จุด - NOUN),(น่าตื่นตาตื่นใจ - VERB),3
(เป็นบ้า - NOUN),(ที่ผ่านมา - ADJ),4,(ตัวเมือง - NOUN),(ประมาณ - ADV),1,(วิว - NOUN),(น่าตื่นตาตื่นใจ - VERB),1
(คน - NOUN),(ที่ผ่านมา - ADJ),0,(สถานที่ - NOUN),(ที่สุด - ADV),2,(คน - NOUN),(แออัด - VERB),3
(จุด - NOUN),(สวยงาม - ADJ),4,(คุณ - NOUN),(ก่อน - ADV),4,(เป็นบ้า - NOUN),(พยายาม - VERB),1
(พระอาทิตย์ - NOUN),(สวยงาม - ADJ),2,(ครึ่งชั่วโมง - NOUN),(ก่อน - ADV),0,(เป็นบ้า - NOUN),(ดึง - VERB),2
(คุณ - NOUN),(งาม - ADJ),11,(ฝูงชน - NOUN),(ที่สุด - ADV),6,(เป็นบ้า - NOUN),(ตก - VERB),7
(ครึ่งชั่วโมง - NOUN),(งาม - ADJ),7,(สถานที่ - NOUN),(ที่สุด - ADV),2,(เป็นบ้า - NOUN),(แตกต่าง - VERB),9
(พระอาทิตย์ - NOUN),(งาม - ADJ),4,(คุณ - NOUN),(ได้ - ADV),0,(คน - NOUN),(ตก - VERB),3
(ความ - NOUN),(งาม - ADJ),0,(คุณ - NOUN),(ทุก - ADV),1,(คน - NOUN),(แตกต่าง - VERB),5
(ฝูงชน - NOUN),(มากมาย - ADJ),0,(ช่วง - NOUN),(ยี่ - ADV),7,(พระอาทิตย์ - NOUN),(ตก - VERB),0
(ผู้ดูแล - NOUN),(มาก - ADJ),9,(ระยะ - NOUN),(ยี่ - ADV),6,(พระอาทิตย์ - NOUN),(แตกต่าง - VERB),2
(ระบบ - NOUN),(มาก - ADJ),8,(การ - NOUN),(ยี่ - ADV),5,(จุด - NOUN),(ชม - VERB),0
(แผนที่ - NOUN),(มาก - ADJ),6,(คุณ - NOUN),(มาก - ADV),6,(จุด - NOUN),(ตก - VERB),2
(สถานที่ - NOUN),(มาก - ADJ),5,(คุณ - NOUN),(กว่า - ADV),7,(พระอาทิตย์ - NOUN),(ตก - VERB),0
(นักท่องเที่ยว - NOUN),(มาก - ADJ),1,(เวลา - NOUN),(มาก - ADV),3,(สถานที่ - NOUN),(ดี - VERB),1
(จำนวน - NOUN),(มาก - ADJ),0,(เวลา - NOUN),(กว่า - ADV),4,(สถานที่ - NOUN),(ชม - VERB),5
(สถานที่ - NOUN),(สงบ - ADJ),0,(ชั่วโมง - NOUN),(มาก - ADV),1,(สถานที่ - NOUN),(ตก - VERB),7
(สถานที่ - NOUN),(เงียบสงบ - ADJ),2,(ชั่วโมง - NOUN),(กว่า - ADV),2,(สถานที่ - NOUN),(เป็น - VERB),11
(จุด - NOUN),(เล็ก - ADJ),1,(เส้นทาง - NOUN),(มาก - ADV),1,(สถานที่ - NOUN),(ชม - VERB),13
(เดินป่า - NOUN),(เล็ก - ADJ),0,(เส้นทาง - NOUN),(ที่สุด - ADV),14,(สถานที่ - NOUN),(สวยงาม - VERB),16
(นักท่องเที่ยว - NOUN),(ส่วนใหญ่ - ADJ),0,(ทักษะ - NOUN),(ที่สุด - ADV),9,(การ - NOUN),(ชม - VERB),0
(นักท่องเที่ยว - NOUN),(งดงาม - ADJ),6,(การ - NOUN),(ที่สุด - ADV),8,(การ - NOUN),(ตก - VERB),2
(ความ - NOUN),(งดงาม - ADJ),0,(ภาพ - NOUN),(ที่สุด - ADV),2,(การ - NOUN),(เป็น - VERB),6
(พรหม - NOUN),(สวย - ADJ),10,(สถานที่ - NOUN),(มาก - ADV),5,(การ - NOUN),(ชม - VERB),8
(เทพ - NOUN),(สวย - ADJ),9,(สถานที่ - NOUN),(โดยเฉพาะ - ADV),6,(การ - NOUN),(สวยงาม - VERB),11
(ภาพ - NOUN),(สวย - ADJ),7,(แห่ง - NOUN),(มาก - ADV),4,(พระอาทิตย์ - NOUN),(ตก - VERB),0
(คลิก - NOUN),(สวย - ADJ),1,(แห่ง - NOUN),(โดยเฉพาะ - ADV),5,(พระอาทิตย์ - NOUN),(เป็น - VERB),4
(รูป - NOUN),(สวย - ADJ),0,(ทิวทัศน์ - NOUN),(มาก - ADV),2,(พระอาทิตย์ - NOUN),(ชม - VERB),6
(สถานที่ - NOUN),(เย็น - ADJ),6,(ทิวทัศน์ - NOUN),(โดยเฉพาะ - ADV),3,(พระอาทิตย์ - NOUN),(สวยงาม - VERB),9
(เวลา - NOUN),(เย็น - ADJ),0,(ทะเลอันดามัน - NOUN),(ทุก - ADV),8,(จังหวัด - NOUN),(เป็น - VERB),1
(คุณ - NOUN),(สวยงาม - ADJ),4,(การ - NOUN),(ทุก - ADV),3,(จังหวัด - NOUN),(ชม - VERB),3
(ทิวทัศน์ - NOUN),(สวยงาม - ADJ),1,(ร้านค้า - NOUN),(บาง - ADV),0,(จังหวัด - NOUN),(สวยงาม - VERB),6
(บาท - NOUN),(สะอาด - ADJ),2,(บริเวณ - NOUN),(ลง - ADV),6,(จุด - NOUN),(ชม - VERB),0
(ห้องน้ำ - NOUN),(สะอาด - ADJ),0,(บริเวณ - NOUN),(ลิง - ADV),9,(จุด - NOUN),(สวยงาม - VERB),3
(นาที - NOUN),(สุด - ADJ),8,(บริเวณ - NOUN),(ด้วย - ADV),10,(วิว - NOUN),(สวยงาม - VERB),1
(นาที - NOUN),(แหลม - ADJ),10,(เนินเขา - NOUN),(ลง - ADV),1,(คุณ - NOUN),(ไป - VERB),1
(เส้นทาง - NOUN),(สุด - ADJ),6,(เนินเขา - NOUN),(ลิง - ADV),4,(คุณ - NOUN),(ตก - VERB),7
(เส้นทาง - NOUN),(แหลม - ADJ),8,(เนินเขา - NOUN),(ด้วย - ADV),5,(คุณ - NOUN),(ดู - VERB),9
(ปลาย - NOUN),(สุด - ADJ),0,(คุณ - NOUN),(ประมาณ - ADV),7,(คุณ - NOUN),(แท้จริง - VERB),13
(ปลาย - NOUN),(แหลม - ADJ),2,(คุณ - NOUN),(ประมาณ - ADV),4,(ครึ่งชั่วโมง - NOUN),(ตก - VERB),3
(ร้านอาหาร - NOUN),(ใกล้เคียง - ADJ),5,(น้ำ - NOUN),(ค่อนข้าง - ADV),4,(ครึ่งชั่วโมง - NOUN),(ดู - VERB),5
(บริเวณ - NOUN),(ใกล้เคียง - ADJ),0,(จุด - NOUN),(ที่สุด - ADV),2,(ครึ่งชั่วโมง - NOUN),(แท้จริง - VERB),9
(พรหม - NOUN),(สวยงาม - ADJ),4,(สถานที่ - NOUN),(มาก - ADV),2,(พระอาทิตย์ - NOUN),(ตก - VERB),0
(เทพ - NOUN),(สวยงาม - ADJ),3,(ผู้คน - NOUN),(ที่นี่ - ADV),1,(พระอาทิตย์ - NOUN),(ดู - VERB),2
(ปลาย - NOUN),(สุด - ADJ),0,(สถานที่ - NOUN),(มาก - ADV),2,(พระอาทิตย์ - NOUN),(แท้จริง - VERB),6
(ปลาย - NOUN),(ใต้ - ADJ),2,(คุณ - NOUN),(ที่นั่น - ADV),23,(ความ - NOUN),(แท้จริง - VERB),2
(ปลาย - NOUN),(เล็ก - ADJ),11,(ทิวทัศน์ - NOUN),(ที่นั่น - ADV),20,(ฝูงชน - NOUN),(หา - VERB),2
(ทาง - NOUN),(ใต้ - ADJ),0,(มหาสมุทร - NOUN),(ที่นั่น - ADV),16,(ฝูงชน - NOUN),(ดี - VERB),5
(ทาง - NOUN),(เล็ก - ADJ),9,(ชายหาด - NOUN),(ที่นั่น - ADV),15,(ฝูงชน - NOUN),(ชม - VERB),10
(ภูเก็ต - NOUN),(เล็ก - ADJ),6,(เนินเขา - NOUN),(ที่นั่น - ADV),14,(ฝูงชน - NOUN),(ตก - VERB),12
(ทัศนียภาพ - NOUN),(เล็ก - ADJ),4,(ความ - NOUN),(ที่นั่น - ADV),12,(สถานที่ - NOUN),(ดี - VERB),1
(เกาะ - NOUN),(เล็ก - ADJ),0,(รอบ - NOUN),(ที่นั่น - ADV),9,(สถานที่ - NOUN),(ชม - VERB),6
(วิว - NOUN),(เย็น - ADJ),9,(กล้อง - NOUN),(ที่นั่น - ADV),2,(สถานที่ - NOUN),(ตก - VERB),8
(ยอดเยี่ยม - NOUN),(เย็น - ADJ),8,(การ - NOUN),(ไป - ADV),2,(คุณ - NOUN),(ชม - VERB),1
(ร้านค้า - NOUN),(เย็น - ADJ),3,(การ - NOUN),(ง่ายดาย - ADV),4,(คุณ - NOUN),(ตก - VERB),3
(เครื่องดื่ม - NOUN),(เย็น - ADJ),0,(การ - NOUN),(ไป - ADV),5,(พระอาทิตย์ - NOUN),(ตก - VERB),0
(ที่จอดรถ - NOUN),(ดี - ADJ),0,(ผู้สูงอายุ - NOUN),(มาก - ADV),4,(คุณ - NOUN),(กิน - VERB),4
(คน - NOUN),(ปกติ - ADJ),5,(บาท - NOUN),(ดี - ADV),3,(คุณ - NOUN),(ใกล้ - VERB),5
(เรื่อง - NOUN),(ปกติ - ADJ),0,(บาท - NOUN),(แค่ - ADV),4,(อย่าง - NOUN),(กิน - VERB),1
(ทิวทัศน์ - NOUN),(สวยงาม - ADJ),1,(ห้องน้ำ - NOUN),(ดี - ADV),1,(อย่าง - NOUN),(ใกล้ - VERB),2
(นักท่องเที่ยว - NOUN),(มาก - ADJ),1,(ห้องน้ำ - NOUN),(แค่ - ADV),2,(แผนที่ - NOUN),(ถูกต้อง - VERB),1
