noun,adj,distance,noun,adv,distance,noun,verb,distance
(การ - NOUN),(เดียว - ADJ),2,(สถานที่ - NOUN),(มาก - ADV),6,(สถานที่ - NOUN),(ดี - VERB),1
(การ - NOUN),(ส่วนตัว - ADJ),7,(คุณ - NOUN),(กว่า - ADV),11,(สถานที่ - NOUN),(เป็น - VERB),3
(วัน - NOUN),(เดียว - ADJ),0,(ตัว - NOUN),(กว่า - ADV),8,(สถานที่ - NOUN),(นิยม - VERB),5
(วัน - NOUN),(ส่วนตัว - ADJ),5,(คุณ - NOUN),(กว่า - ADV),7,(คุณ - NOUN),(มอง - VERB),0
(คนขับ - NOUN),(ส่วนตัว - ADJ),0,(คุณ - NOUN),(กว่า - ADV),5,(คุณ - NOUN),(หา - VERB),7
(คุณ - NOUN),(ใหญ่ - ADJ),4,(สถานที่ - NOUN),(กว่า - ADV),2,(คุณ - NOUN),(ดี - VERB),10
(พระพุทธรูป - NOUN),(ใหญ่ - ADJ),1,(ผลงาน - NOUN),(ขึ้น - ADV),8,(คุณ - NOUN),(นักท่องเที่ยว - VERB),15
(องค์ - NOUN),(ใหญ่ - ADJ),0,(ผลงาน - NOUN),(หลาย - ADV),10,(ตัว - NOUN),(หา - VERB),4
(ราคา - NOUN),(โปรด - ADJ),0,(ชิ้นเอก - NOUN),(ขึ้น - ADV),7,(ตัว - NOUN),(ดี - VERB),7
(ค่าธรรมเนียม - NOUN),(แรก - ADJ),0,(ชิ้นเอก - NOUN),(หลาย - ADV),9,(ตัว - NOUN),(นักท่องเที่ยว - VERB),12
(ที่ - NOUN),(น่าสนใจ - ADJ),0,(ศิลปะ - NOUN),(ขึ้น - ADV),5,(คุณ - NOUN),(หา - VERB),3
(วัด - NOUN),(สวยงาม - ADJ),1,(ศิลปะ - NOUN),(หลาย - ADV),7,(คุณ - NOUN),(ดี - VERB),6
(วัด - NOUN),(สวยงาม - ADJ),4,(วัด - NOUN),(มาก - ADV),4,(คุณ - NOUN),(นักท่องเที่ยว - VERB),11
