noun,adj,distance,noun,adv,distance,noun,verb,distance
(ข้อมูล - NOUN),(สะอาด - ADJ),3,(ตัวเลือก - NOUN),(อร่อย - ADV),7,(ชายหาด - NOUN),(วุ่นวาย - VERB),1
(ข้อมูล - NOUN),(ดี - ADJ),6,(อาหาร - NOUN),(อร่อย - ADV),4,(น่าตื่นเต้น - NOUN),(พร้อม - VERB),0
(เน็ต - NOUN),(สะอาด - ADJ),1,(ริมถนน - NOUN),(อร่อย - ADV),3,(น่าตื่นเต้น - NOUN),(เล่นกีฬา - VERB),5
(เน็ต - NOUN),(ดี - ADJ),4,(ราคา - NOUN),(อร่อย - ADV),2,(โอกาส - NOUN),(เล่นกีฬา - VERB),3
(ชายหาด - NOUN),(สะอาด - ADJ),0,(ทำเล - NOUN),(โดยเฉพาะอย่างยิ่ง - ADV),4,(การ - NOUN),(เล่นกีฬา - VERB),0
(ชายหาด - NOUN),(ดี - ADJ),3,(ทำเล - NOUN),(มากมาย - ADV),10,(ร้านอาหาร - NOUN),(ยอดเยี่ยม - VERB),4
(สงบ - NOUN),(ดี - ADJ),1,(ทำเล - NOUN),(รอบๆ - ADV),11,(บาร์ - NOUN),(ยอดเยี่ยม - VERB),2
(ตัวเลือก - NOUN),(มากมาย - ADJ),0,(ชายหาด - NOUN),(มากมาย - ADV),2,(ท้องถิ่น - NOUN),(ยอดเยี่ยม - VERB),1
(น่าตื่นเต้น - NOUN),(มากมาย - ADJ),2,(ชายหาด - NOUN),(รอบๆ - ADV),3,(ทำเล - NOUN),(ตั้ง - VERB),1
(โอกาส - NOUN),(มากมาย - ADJ),0,(หาด - NOUN),(อย่างยิ่ง - ADV),6,(ทำเล - NOUN),(ไป - VERB),3
(ป่า - NOUN),(โดยทั่วไป - ADJ),3,(ป่า - NOUN),(อย่างยิ่ง - ADV),5,(ทำเล - NOUN),(มี - VERB),6
(ตอง - NOUN),(โดยทั่วไป - ADJ),2,(ตอง - NOUN),(อย่างยิ่ง - ADV),4,(ทำเล - NOUN),(ยอดเยี่ยม - VERB),9
(ภูเก็ต - NOUN),(โดยทั่วไป - ADJ),0,(สิ่ง - NOUN),(อย่างยิ่ง - ADV),2,(ชายหาด - NOUN),(ยอดเยี่ยม - VERB),1
(ร้านอาหาร - NOUN),(มากมาย - ADJ),0,(น่าอัศจรรย์ - NOUN),(อย่างยิ่ง - ADV),0,(หาด - NOUN),(เป็น - VERB),2
(ร้านอาหาร - NOUN),(อร่อย - ADJ),8,(เจ็ทสกี - NOUN),(ลิ่ง - ADV),2,(ป่า - NOUN),(เป็น - VERB),1
(คุณ - NOUN),(อร่อย - ADJ),2,(เจ็ทสกี - NOUN),(อยู่ - ADV),10,(ตอง - NOUN),(เป็น - VERB),0
(อาหาร - NOUN),(อร่อย - ADJ),0,(เจ็ทสกี - NOUN),(ที่นี่ - ADV),11,(ร้านอาหาร - NOUN),(ช่วย - VERB),3
(เจ็ทสกี - NOUN),(มากมาย - ADJ),7,(พารา - NOUN),(ลิ่ง - ADV),1,(ร้านอาหาร - NOUN),(ได้รับ - VERB),6
(พารา - NOUN),(มากมาย - ADJ),6,(พารา - NOUN),(อยู่ - ADV),9,(ร้านอาหาร - NOUN),(ต้องการ - VERB),13
(เซล - NOUN),(มากมาย - ADJ),5,(พารา - NOUN),(ที่นี่ - ADV),10,(คุณ - NOUN),(ได้รับ - VERB),0
(กิจกรรม - NOUN),(มากมาย - ADJ),2,(เซล - NOUN),(ลิ่ง - ADV),0,(คุณ - NOUN),(ต้องการ - VERB),7
(น้ำ - NOUN),(มากมาย - ADJ),0,(เซล - NOUN),(อยู่ - ADV),8,(อาหาร - NOUN),(ต้องการ - VERB),5
(ชายหาด - NOUN),(สะอาด - ADJ),0,(เซล - NOUN),(ที่นี่ - ADV),9,(คุณ - NOUN),(ต้องการ - VERB),0
(น้ำ - NOUN),(ใส - ADJ),0,(กิจกรรม - NOUN),(อยู่ - ADV),5,(เจ็ทสกี - NOUN),(รอ - VERB),8
(หาด - NOUN),(ใส - ADJ),6,(กิจกรรม - NOUN),(ที่นี่ - ADV),6,(พารา - NOUN),(รอ - VERB),7
(รน - NOUN),(ใส - ADJ),4,(น้ำ - NOUN),(อยู่ - ADV),3,(เซล - NOUN),(รอ - VERB),6
(กะ - NOUN),(ใส - ADJ),2,(น้ำ - NOUN),(ที่นี่ - ADV),4,(กิจกรรม - NOUN),(รอ - VERB),3
(น้ำ - NOUN),(ใส - ADJ),0,(คุณ - NOUN),(อยู่ - ADV),0,(น้ำ - NOUN),(รอ - VERB),1
(พื้นที่ - NOUN),(สูบบุหรี่ - ADJ),0,(คุณ - NOUN),(ที่นี่ - ADV),1,(ชายหาด - NOUN),(โอเค - VERB),2
(พื้นที่ - NOUN),(มากมาย - ADJ),1,(พื้นที่ - NOUN),(มาก - ADV),4,(ชายหาด - NOUN),(มา - VERB),4
(คลื่น - NOUN),(เล็ก - ADJ),2,(สถานที่ - NOUN),(มาก - ADV),2,(ชายหาด - NOUN),(ที่นี่ - VERB),5
(ขนาด - NOUN),(เล็ก - ADJ),0,(การจราจร - NOUN),(อยู่ - ADV),17,(ชายหาด - NOUN),(พักผ่อน - VERB),8
(ราคา - NOUN),(สูง - ADJ),0,(การจราจร - NOUN),(ห่าง - ADV),18,(ชายหาด - NOUN),(ผ่อนคลาย - VERB),10
(คน - NOUN),(อื่นๆ - ADJ),10,(การจราจร - NOUN),(ประมาณ - ADV),21,(ร้านอาหาร - NOUN),(โอเค - VERB),0
(จำนวน - NOUN),(อื่นๆ - ADJ),9,(ระยะทาง - NOUN),(อยู่ - ADV),13,(ร้านอาหาร - NOUN),(มา - VERB),2
(แว่นตา - NOUN),(อื่นๆ - ADJ),4,(ระยะทาง - NOUN),(ห่าง - ADV),14,(ร้านอาหาร - NOUN),(ที่นี่ - VERB),3
(กันแดด - NOUN),(อื่นๆ - ADJ),3,(ระยะทาง - NOUN),(ประมาณ - ADV),17,(ร้านอาหาร - NOUN),(พักผ่อน - VERB),6
(เครื่องประดับ - NOUN),(อื่นๆ - ADJ),2,(ฉาก - NOUN),(อยู่ - ADV),10,(ร้านอาหาร - NOUN),(ผ่อนคลาย - VERB),8
(สิ่ง - NOUN),(อื่นๆ - ADJ),0,(ฉาก - NOUN),(ห่าง - ADV),11,(วันหยุด - NOUN),(พักผ่อน - VERB),0
(ถนน - NOUN),(แพง - ADJ),8,(ฉาก - NOUN),(ประมาณ - ADV),14,(วันหยุด - NOUN),(ผ่อนคลาย - VERB),2
(ลา - NOUN),(แพง - ADJ),6,(การ - NOUN),(อยู่ - ADV),6,(คุณ - NOUN),(ต้องการ - VERB),0
(คาด - NOUN),(แพง - ADJ),3,(การ - NOUN),(ห่าง - ADV),7,(พื้นที่ - NOUN),(มี - VERB),0
(ราคา - NOUN),(แพง - ADJ),0,(การ - NOUN),(ประมาณ - ADV),10,(พื้นที่ - NOUN),(ดี - VERB),3
(ชายหาด - NOUN),(ธรรมดา - ADJ),0,(หิน - NOUN),(อยู่ - ADV),3,(พื้นที่ - NOUN),(เยี่ยม - VERB),7
(หาด - NOUN),(หนาแน่น - ADJ),20,(หิน - NOUN),(ห่าง - ADV),4,(พื้นที่ - NOUN),(ชม - VERB),8
(หาด - NOUN),(สกปรก - ADJ),22,(หิน - NOUN),(ประมาณ - ADV),7,(สถานที่ - NOUN),(ดี - VERB),1
(ป่า - NOUN),(หนาแน่น - ADJ),19,(บอนด์ - NOUN),(อยู่ - ADV),2,(สถานที่ - NOUN),(เยี่ยม - VERB),5
(ป่า - NOUN),(สกปรก - ADJ),21,(บอนด์ - NOUN),(ห่าง - ADV),3,(สถานที่ - NOUN),(ชม - VERB),6
(ตอง - NOUN),(หนาแน่น - ADJ),18,(บอนด์ - NOUN),(ประมาณ - ADV),6,(การ - NOUN),(เยี่ยม - VERB),0
(ตอง - NOUN),(สกปรก - ADJ),20,(คุณ - NOUN),(มาก - ADV),0,(การ - NOUN),(ชม - VERB),1
(ชายหาด - NOUN),(หนาแน่น - ADJ),14,(คุณ - NOUN),(กว่า - ADV),1,(การจราจร - NOUN),(ว่าง - VERB),1
(ชายหาด - NOUN),(สกปรก - ADJ),16,(คุณ - NOUN),(ไป - ADV),4,(การจราจร - NOUN),(ไป - VERB),4
(ประเทศ - NOUN),(หนาแน่น - ADJ),4,(ชายหาด - NOUN),(เกินไป - ADV),11,(การจราจร - NOUN),(ดี - VERB),8
(ประเทศ - NOUN),(สกปรก - ADJ),6,(ช่วง - NOUN),(เกินไป - ADV),6,(การจราจร - NOUN),(เยี่ยม - VERB),11
(นักท่องเที่ยว - NOUN),(หนาแน่น - ADJ),0,(ปีใหม่ - NOUN),(เกินไป - ADV),5,(การจราจร - NOUN),(ชม - VERB),12
(นักท่องเที่ยว - NOUN),(สกปรก - ADJ),2,(บาร์ - NOUN),(อยู่ - ADV),4,(การจราจร - NOUN),(เจมส์ - VERB),15
(คลับ - NOUN),(เครื่องดื่ม - ADJ),10,(บาร์ - NOUN),(ด้านหน้า - ADV),5,(การจราจร - NOUN),(ออก - VERB),19
(ริ - NOUN),(เครื่องดื่ม - ADJ),9,(บาร์ - NOUN),(เช่นกัน - ADV),6,(การจราจร - NOUN),(ไป - VERB),20
(มหาด - NOUN),(เครื่องดื่ม - ADJ),8,(มหาด - NOUN),(อยู่ - ADV),2,(ระยะทาง - NOUN),(ไป - VERB),0
(แห่ง - NOUN),(เครื่องดื่ม - ADJ),6,(มหาด - NOUN),(ด้านหน้า - ADV),3,(ระยะทาง - NOUN),(ดี - VERB),4
(สิ่งอำนวยความสะดวก - NOUN),(เครื่องดื่ม - ADJ),3,(มหาด - NOUN),(เช่นกัน - ADV),4,(ระยะทาง - NOUN),(เยี่ยม - VERB),7
(สระว่ายน้ำ - NOUN),(เครื่องดื่ม - ADJ),1,(ชายหาด - NOUN),(มาก - ADV),2,(ระยะทาง - NOUN),(ชม - VERB),8
(อาหาร - NOUN),(เครื่องดื่ม - ADJ),0,(คน - NOUN),(มาก - ADV),2,(ระยะทาง - NOUN),(เจมส์ - VERB),11
(วันคริสต์มาส - NOUN),(สกปรก - ADJ),21,(คน - NOUN),(เกินไป - ADV),3,(ระยะทาง - NOUN),(ออก - VERB),15
(เก้า - NOUN),(สกปรก - ADJ),17,(คน - NOUN),(เรือหางยาว - ADV),5,(ระยะทาง - NOUN),(ไป - VERB),16
(หาด - NOUN),(สกปรก - ADJ),15,(น้ำ - NOUN),(มาก - ADV),0,(ฉาก - NOUN),(ดี - VERB),1
(ป่า - NOUN),(สกปรก - ADJ),14,(น้ำ - NOUN),(เกินไป - ADV),1,(ฉาก - NOUN),(เยี่ยม - VERB),4
