noun,adj,distance,noun,adv,distance,noun,verb,distance
(วันที่ - NOUN),(แจ่มใส - ADJ),1,(ทันเวลา - NOUN),(มาก - ADV),12,(การ - NOUN),(เดินทาง - VERB),0
(วันที่ - NOUN),(สวย - ADJ),4,(แหลม - NOUN),(มาก - ADV),7,(การ - NOUN),(พัก - VERB),4
(อากาศ - NOUN),(แจ่มใส - ADJ),0,(พระอาทิตย์ - NOUN),(มาก - ADV),4,(คุณ - NOUN),(พัก - VERB),0
(อากาศ - NOUN),(สวย - ADJ),3,(การ - NOUN),(เช่นกัน - ADV),6,(คุณ - NOUN),(มี - VERB),0
(วิว - NOUN),(สวย - ADJ),0,(สถานที่ - NOUN),(ใกล้ - ADV),3,(คุณ - NOUN),(เป็น - VERB),3
(การ - NOUN),(พิเศษ - ADJ),1,(คุณ - NOUN),(ใกล้ - ADV),1,(คุณ - NOUN),(น่ารัก - VERB),6
(การ - NOUN),(แหลม - ADJ),3,(เวลา - NOUN),(ที่สุด - ADV),2,(คุณ - NOUN),(หยุด - VERB),9
(คุณ - NOUN),(สวยงาม - ADJ),4,(ขับรถ - NOUN),(ประมาณ - ADV),0,(เวลา - NOUN),(เป็น - VERB),1
(ภาพ - NOUN),(สวยงาม - ADJ),1,(วัด - NOUN),(ที่สุด - ADV),7,(เวลา - NOUN),(น่ารัก - VERB),4
(สถานที่ - NOUN),(โปรด - ADJ),0,(วัด - NOUN),(ไว้ - ADV),10,(เวลา - NOUN),(หยุด - VERB),7
(มุมมอง - NOUN),(เป็นบ้า - ADJ),7,(วัด - NOUN),(บาง - ADV),26,(สถานที่ - NOUN),(น่ารัก - VERB),1
(พื้นที่ - NOUN),(เป็นบ้า - ADJ),2,(ธารา - NOUN),(ที่สุด - ADV),5,(สถานที่ - NOUN),(หยุด - VERB),4
(น้ำ - NOUN),(เป็นบ้า - ADJ),0,(ธารา - NOUN),(ไว้ - ADV),8,(ทันเวลา - NOUN),(มา - VERB),2
(บรรยากาศ - NOUN),(ดี - ADJ),0,(ธารา - NOUN),(บาง - ADV),24,(ทันเวลา - NOUN),(ดู - VERB),6
(สถานที่ - NOUN),(สวยงาม - ADJ),0,(วัด - NOUN),(ที่สุด - ADV),2,(ทันเวลา - NOUN),(ตก - VERB),8
(ฝูงชน - NOUN),(มาก - ADJ),1,(วัด - NOUN),(ไว้ - ADV),5,(ทันเวลา - NOUN),(ยอดเยี่ยม - VERB),11
(ฝูงชน - NOUN),(ส่วนใหญ่ - ADJ),2,(วัด - NOUN),(บาง - ADV),21,(แหลม - NOUN),(ดู - VERB),1
(จำนวน - NOUN),(มาก - ADJ),0,(จังหวัด - NOUN),(บาง - ADV),13,(แหลม - NOUN),(ตก - VERB),3
(จำนวน - NOUN),(ส่วนใหญ่ - ADJ),1,(สถานที่ - NOUN),(บาง - ADV),10,(แหลม - NOUN),(ยอดเยี่ยม - VERB),6
(รูป - NOUN),(ดัง - ADJ),16,(จิตวิญญาณ - NOUN),(บาง - ADV),8,(พระอาทิตย์ - NOUN),(ตก - VERB),0
(หันหลัง - NOUN),(ดัง - ADJ),15,(คุณ - NOUN),(บาง - ADV),6,(พระอาทิตย์ - NOUN),(ยอดเยี่ยม - VERB),3
(ดวงอาทิตย์ - NOUN),(ดัง - ADJ),4,(ประเพณี - NOUN),(บาง - ADV),0,(มุมมอง - NOUN),(ยอดเยี่ยม - VERB),1
(เสียง - NOUN),(ดัง - ADJ),0,(ครั้ง - NOUN),(หลาย - ADV),1,(การ - NOUN),(ขี่ - VERB),0
(จุด - NOUN),(ลับ - ADJ),0,(จุด - NOUN),(เกินไป - ADV),20,(การ - NOUN),(ไป - VERB),1
(วิว - NOUN),(สวย - ADJ),0,(พายุ - NOUN),(เกินไป - ADV),13,(การ - NOUN),(ยอดเยี่ยม - VERB),5
(คน - NOUN),(ดี - ADJ),9,(คลื่น - NOUN),(เกินไป - ADV),9,(สถานที่ - NOUN),(อยู่ - VERB),2
(ช่วง - NOUN),(ดี - ADJ),2,(วิธี - NOUN),(เกินไป - ADV),6,(คุณ - NOUN),(อยู่ - VERB),0
(วันหยุด - NOUN),(ดี - ADJ),1,(คุณ - NOUN),(เกินไป - ADV),4,(เวลา - NOUN),(ดี - VERB),1
(เวลา - NOUN),(ดี - ADJ),0,(คุณ - NOUN),(เกินไป - ADV),2,(เวลา - NOUN),(ตก - VERB),5
(คน - NOUN),(ส่วนใหญ่ - ADJ),0,(บรรยากาศ - NOUN),(มาก - ADV),1,(พระอาทิตย์ - NOUN),(ตก - VERB),0
(ที่จอดรถ - NOUN),(น้อย - ADJ),0,(จุด - NOUN),(ทะเลอันดามัน - ADV),4,(สถานที่ - NOUN),(แออัด - VERB),1
(เวลา - NOUN),(บวก - ADJ),15,(วิว - NOUN),(ทะเลอันดามัน - ADV),2,(การ - NOUN),(เยี่ยม - VERB),0
