noun,adj,distance,noun,adv,distance,noun,verb,distance
(ชื่อเสียง - NOUN),(ยาสมุนไพร - ADJ),1,(คุ้มค่า - NOUN),(แน่นอน - ADV),5,(ไหล่ - NOUN),(ทราบ - VERB),5
(ด้าน - NOUN),(ยาสมุนไพร - ADJ),0,(การ - NOUN),(แน่นอน - ADV),3,(ไหล่ - NOUN),(แต่งกาย - VERB),8
(เวลา - NOUN),(สั้น - ADJ),0,(วัด - NOUN),(มาก - ADV),9,(ไหล่ - NOUN),(ติดตาม - VERB),12
(นักท่องเที่ยว - NOUN),(มาก - ADJ),1,(วัด - NOUN),(ที่สุด - ADV),10,(ไหล่ - NOUN),(เข้า - VERB),14
(จำนวน - NOUN),(มาก - ADJ),0,(วัด - NOUN),(มาก - ADV),6,(เวลา - NOUN),(ทราบ - VERB),3
(วัด - NOUN),(งดงาม - ADJ),30,(วัด - NOUN),(ที่สุด - ADV),7,(เวลา - NOUN),(แต่งกาย - VERB),6
(แห่ง - NOUN),(งดงาม - ADJ),29,(ความ - NOUN),(มาก - ADV),1,(เวลา - NOUN),(ติดตาม - VERB),10
(มนต์ขลัง - NOUN),(งดงาม - ADJ),26,(ความ - NOUN),(ที่สุด - ADV),2,(เวลา - NOUN),(เข้า - VERB),12
(สถานที่ - NOUN),(งดงาม - ADJ),24,(คุณ - NOUN),(มาก - ADV),2,(การ - NOUN),(แต่งกาย - VERB),0
(พื้นที่ - NOUN),(งดงาม - ADJ),20,(คุณ - NOUN),(กว่า - ADV),3,(การ - NOUN),(ติดตาม - VERB),4
(การ - NOUN),(งดงาม - ADJ),16,(เวลา - NOUN),(มาก - ADV),0,(การ - NOUN),(เข้า - VERB),6
(วิว - NOUN),(งดงาม - ADJ),11,(เวลา - NOUN),(กว่า - ADV),1,(คุณ - NOUN),(ติดตาม - VERB),1
(ที่นี่ - NOUN),(งดงาม - ADJ),9,(วัด - NOUN),(มาก - ADV),4,(คุณ - NOUN),(เข้า - VERB),3
(ยอดเยี่ยม - NOUN),(งดงาม - ADJ),8,(วัด - NOUN),(อยู่ - ADV),7,(คุณ - NOUN),(สวมเสื้อ - VERB),1
(สถาปัตยกรรม - NOUN),(งดงาม - ADJ),6,(แห่ง - NOUN),(มาก - ADV),3,(คุณ - NOUN),(สวมใส่ - VERB),1
